contract,forecast_date,horizon_days,current_price,point_forecast,lower_80ci,upper_80ci,signal
Q4_26,2026-09-04,25,134.75,124.43,120.8,128.07,Wait
Q4_26,2026-09-04,25,134.75,128.04,123.19,132.9,Wait
Q4_26,2026-09-04,25,134.75,129.59,123.53,135.66,Wait
Q1_27,2026-09-04,30,113.55,116.18,113.12,119.25,Neutral
Q1_27,2026-09-04,60,113.55,115.26,111.17,119.35,Neutral
Q1_27,2026-09-04,90,113.55,114.87,109.76,119.98,Neutral
Q2_27,2026-09-04,30,53.5,56.98,55.54,58.43,Potential Opportunity
Q2_27,2026-09-04,60,53.5,55.76,53.84,57.69,Potential Opportunity
Q2_27,2026-09-04,90,53.5,55.24,52.83,57.65,Potential Opportunity
YR27,2026-09-04,30,81.4,73.26,71.06,75.46,Wait
YR27,2026-09-04,60,81.4,75.16,72.23,78.09,Wait
YR27,2026-09-04,90,81.4,76.6,72.94,80.26,Wait
YR28,2026-09-04,30,61.6,56.59,54.92,58.25,Wait
YR28,2026-09-04,60,61.6,58.34,56.12,60.56,Wait
YR28,2026-09-04,90,61.6,59.09,56.32,61.87,Wait
