contract,forecast_date,horizon_days,current_price,point_forecast,lower_80ci,upper_80ci,signal
Q3_26,2026-06-19,10,81.35,80.16,77.96,82.35,Neutral
Q3_26,2026-06-19,10,81.35,80.57,77.65,83.5,Neutral
Q3_26,2026-06-19,10,81.35,80.75,77.09,84.41,Neutral
Q4_26,2026-06-19,30,84.3,83.59,81.32,85.87,Neutral
Q4_26,2026-06-19,60,84.3,83.84,80.81,86.88,Neutral
Q4_26,2026-06-19,90,84.3,83.95,80.15,87.74,Neutral
Q1_27,2026-06-19,30,71.0,68.86,66.94,70.77,Wait
Q1_27,2026-06-19,60,71.0,69.61,67.05,72.16,Neutral
Q1_27,2026-06-19,90,71.0,69.93,66.73,73.12,Neutral
Q2_27,2026-06-19,30,39.58,43.54,42.47,44.61,Potential Opportunity
Q2_27,2026-06-19,60,39.58,42.83,41.41,44.25,Potential Opportunity
Q2_27,2026-06-19,90,39.58,42.08,40.3,43.86,Potential Opportunity
YR27,2026-06-19,30,58.5,59.73,58.15,61.31,Neutral
YR27,2026-06-19,60,58.5,59.3,57.2,61.41,Neutral
YR27,2026-06-19,90,58.5,59.12,56.48,61.75,Neutral
YR28,2026-06-19,30,56.4,56.73,55.2,58.25,Neutral
YR28,2026-06-19,60,56.4,56.61,54.58,58.64,Neutral
YR28,2026-06-19,90,56.4,56.56,54.03,59.1,Neutral
