contract,forecast_date,horizon_days,current_price,point_forecast,lower_80ci,upper_80ci,signal
Q3_26,2026-05-06,30,81.5,73.35,71.15,75.55,Wait
Q3_26,2026-05-06,54,81.5,75.43,72.5,78.37,Wait
Q3_26,2026-05-06,54,81.5,76.83,73.17,80.5,Wait
Q4_26,2026-05-06,30,86.5,81.97,79.63,84.3,Wait
Q4_26,2026-05-06,60,86.5,83.55,80.44,86.67,Wait
Q4_26,2026-05-06,90,86.5,84.23,80.34,88.13,Neutral
Q1_27,2026-05-06,30,74.0,69.48,67.49,71.48,Wait
Q1_27,2026-05-06,60,74.0,71.06,68.4,73.73,Wait
Q1_27,2026-05-06,90,74.0,71.74,68.41,75.07,Wait
Q2_27,2026-05-06,30,39.25,43.18,42.12,44.23,Potential Opportunity
Q2_27,2026-05-06,60,39.25,43.96,42.55,45.37,Potential Opportunity
Q2_27,2026-05-06,90,39.25,44.81,43.04,46.57,Potential Opportunity
YR27,2026-05-06,30,59.3,57.38,55.77,58.98,Wait
YR27,2026-05-06,60,59.3,58.05,55.91,60.18,Neutral
YR27,2026-05-06,90,59.3,58.34,55.67,61.01,Neutral
YR28,2026-05-06,30,55.5,56.63,55.13,58.13,Neutral
YR28,2026-05-06,60,55.5,56.23,54.23,58.23,Neutral
YR28,2026-05-06,90,55.5,56.06,53.57,58.56,Neutral
