contract,forecast_date,horizon_days,current_price,point_forecast,lower_80ci,upper_80ci,signal
Q3_26,2026-05-28,30,85.5,80.38,78.07,82.69,Wait
Q3_26,2026-05-28,32,85.5,82.17,79.1,85.25,Wait
Q3_26,2026-05-28,32,85.5,82.94,79.09,86.79,Neutral
Q4_26,2026-05-28,30,87.75,83.02,80.65,85.38,Wait
Q4_26,2026-05-28,60,87.75,84.67,81.51,87.83,Wait
Q4_26,2026-05-28,90,87.75,85.38,81.43,89.33,Neutral
Q1_27,2026-05-28,30,73.25,70.67,68.69,72.65,Wait
Q1_27,2026-05-28,60,73.25,71.57,68.94,74.21,Neutral
Q1_27,2026-05-28,90,73.25,71.96,68.66,75.26,Neutral
Q2_27,2026-05-28,30,41.95,44.97,43.84,46.11,Potential Opportunity
Q2_27,2026-05-28,60,41.95,43.91,42.4,45.42,Potential Opportunity
Q2_27,2026-05-28,90,41.95,43.46,41.57,45.35,Potential Opportunity
YR27,2026-05-28,30,60.0,58.57,56.95,60.19,Neutral
YR27,2026-05-28,60,60.0,59.07,56.91,61.23,Neutral
YR27,2026-05-28,90,60.0,59.29,56.59,61.99,Neutral
YR28,2026-05-28,30,56.05,56.23,54.71,57.74,Neutral
YR28,2026-05-28,60,56.05,56.17,54.15,58.18,Neutral
YR28,2026-05-28,90,56.05,56.14,53.62,58.66,Neutral
