contract,forecast_date,horizon_days,current_price,point_forecast,lower_80ci,upper_80ci,signal
Q3_26,2026-06-05,24,88.1,79.29,76.91,81.67,Wait
Q3_26,2026-06-05,24,88.1,77.53,74.36,80.7,Wait
Q3_26,2026-06-05,24,88.1,78.29,74.32,82.25,Wait
Q4_26,2026-06-05,30,90.9,81.81,79.36,84.26,Wait
Q4_26,2026-06-05,60,90.9,79.99,76.72,83.26,Wait
Q4_26,2026-06-05,90,90.9,77.9,73.81,81.99,Wait
Q1_27,2026-06-05,30,74.0,66.6,64.6,68.6,Wait
Q1_27,2026-06-05,60,74.0,65.12,62.46,67.78,Wait
Q1_27,2026-06-05,90,74.0,63.19,59.86,66.52,Wait
Q2_27,2026-06-05,30,42.5,44.61,43.47,45.76,Potential Opportunity
Q2_27,2026-06-05,60,42.5,43.87,42.34,45.4,Potential Opportunity
Q2_27,2026-06-05,90,42.5,43.56,41.64,45.47,Neutral
YR27,2026-06-05,30,61.45,58.01,56.35,59.67,Wait
YR27,2026-06-05,60,61.45,59.22,57.0,61.43,Wait
YR27,2026-06-05,90,61.45,59.73,56.97,62.5,Neutral
YR28,2026-06-05,30,58.25,62.57,61.0,64.14,Potential Opportunity
YR28,2026-06-05,60,58.25,61.06,58.96,63.16,Potential Opportunity
YR28,2026-06-05,90,58.25,60.41,57.79,63.03,Potential Opportunity
