contract,forecast_date,horizon_days,current_price,point_forecast,lower_80ci,upper_80ci,signal
Q4_26,2026-07-28,30,106.5,98.15,95.27,101.02,Wait
Q4_26,2026-07-28,60,106.5,101.07,97.24,104.9,Wait
Q4_26,2026-07-28,63,106.5,102.32,97.53,107.12,Wait
Q1_27,2026-07-28,30,83.0,83.06,80.82,85.3,Neutral
Q1_27,2026-07-28,60,83.0,83.04,80.05,86.02,Neutral
Q1_27,2026-07-28,90,83.0,83.03,79.29,86.76,Neutral
Q2_27,2026-07-28,30,49.0,44.88,43.56,46.2,Wait
Q2_27,2026-07-28,60,49.0,46.32,44.56,48.09,Wait
Q2_27,2026-07-28,90,49.0,46.94,44.74,49.15,Wait
YR27,2026-07-28,30,67.0,61.66,59.85,63.47,Wait
YR27,2026-07-28,60,67.0,63.53,61.12,65.94,Wait
YR27,2026-07-28,90,67.0,64.33,61.32,67.35,Wait
YR28,2026-07-28,30,55.68,58.79,57.29,60.3,Potential Opportunity
YR28,2026-07-28,60,55.68,57.7,55.7,59.71,Potential Opportunity
YR28,2026-07-28,90,55.68,57.24,54.73,59.74,Neutral
