contract,forecast_date,horizon_days,current_price,point_forecast,lower_80ci,upper_80ci,signal
Q4_26,2026-08-19,30,112.5,104.05,101.01,107.09,Wait
Q4_26,2026-08-19,41,112.5,107.01,102.96,111.06,Wait
Q4_26,2026-08-19,41,112.5,108.28,103.21,113.34,Wait
Q1_27,2026-08-19,30,90.0,93.48,91.05,95.91,Potential Opportunity
Q1_27,2026-08-19,60,90.0,92.26,89.02,95.5,Neutral
Q1_27,2026-08-19,90,90.0,91.74,87.69,95.79,Neutral
Q2_27,2026-08-19,30,49.74,54.71,53.37,56.06,Potential Opportunity
Q2_27,2026-08-19,60,49.74,53.45,51.66,55.24,Potential Opportunity
Q2_27,2026-08-19,90,49.74,52.59,50.36,54.83,Potential Opportunity
YR27,2026-08-19,30,71.25,66.81,64.88,68.73,Wait
YR27,2026-08-19,60,71.25,68.36,65.8,70.93,Wait
YR27,2026-08-19,90,71.25,69.03,65.82,72.23,Wait
YR28,2026-08-19,30,57.75,57.73,56.17,59.29,Neutral
YR28,2026-08-19,60,57.75,57.74,55.66,59.82,Neutral
YR28,2026-08-19,90,57.75,57.74,55.14,60.34,Neutral
