contract,forecast_date,horizon_days,current_price,point_forecast,lower_80ci,upper_80ci,signal
Q4_26,2026-09-12,17,147.33,132.6,128.62,136.57,Wait
Q4_26,2026-09-12,17,147.33,136.65,131.35,141.95,Wait
Q4_26,2026-09-12,17,147.33,139.11,132.48,145.74,Wait
Q1_27,2026-09-12,30,127.75,129.84,126.39,133.29,Neutral
Q1_27,2026-09-12,60,127.75,129.11,124.51,133.71,Neutral
Q1_27,2026-09-12,90,127.75,128.8,123.05,134.54,Neutral
Q2_27,2026-09-12,30,60.8,63.84,62.2,65.48,Potential Opportunity
Q2_27,2026-09-12,60,60.8,62.78,60.59,64.97,Potential Opportunity
Q2_27,2026-09-12,90,60.8,62.32,59.59,65.06,Neutral
YR27,2026-09-12,30,92.75,83.48,80.97,85.98,Wait
YR27,2026-09-12,60,92.75,86.06,82.72,89.4,Wait
YR27,2026-09-12,90,92.75,87.61,83.43,91.78,Wait
YR28,2026-09-12,30,65.25,58.73,56.96,60.49,Wait
YR28,2026-09-12,60,65.25,60.5,58.15,62.85,Wait
YR28,2026-09-12,90,65.25,61.59,58.66,64.53,Wait
