contract,forecast_date,horizon_days,current_price,point_forecast,lower_80ci,upper_80ci,signal
Q4_26,2026-08-28,30,121.0,111.31,108.05,114.58,Wait
Q4_26,2026-08-28,32,121.0,114.7,110.35,119.06,Wait
Q4_26,2026-08-28,32,121.0,116.16,110.71,121.6,Wait
Q1_27,2026-08-28,30,100.75,102.49,99.77,105.21,Neutral
Q1_27,2026-08-28,60,100.75,101.88,98.25,105.51,Neutral
Q1_27,2026-08-28,90,100.75,101.62,97.08,106.15,Neutral
Q2_27,2026-08-28,30,49.7,54.67,53.33,56.01,Potential Opportunity
Q2_27,2026-08-28,60,49.7,54.17,52.38,55.96,Potential Opportunity
Q2_27,2026-08-28,90,49.7,53.14,50.9,55.38,Potential Opportunity
YR27,2026-08-28,30,75.7,69.04,67.0,71.09,Wait
YR27,2026-08-28,60,75.7,71.37,68.65,74.1,Wait
YR27,2026-08-28,90,75.7,72.37,68.96,75.78,Wait
YR28,2026-08-28,30,58.6,57.11,55.53,58.69,Neutral
YR28,2026-08-28,60,58.6,57.63,55.52,59.74,Neutral
YR28,2026-08-28,90,58.6,57.85,55.22,60.49,Neutral
