contract,forecast_date,horizon_days,current_price,point_forecast,lower_80ci,upper_80ci,signal
Q4_26,2026-07-17,30,100.7,90.63,87.91,93.35,Wait
Q4_26,2026-07-17,60,100.7,92.75,89.12,96.37,Wait
Q4_26,2026-07-17,74,100.7,94.58,90.05,99.12,Wait
Q1_27,2026-07-17,30,78.12,71.92,69.82,74.03,Wait
Q1_27,2026-07-17,60,78.12,74.09,71.28,76.91,Wait
Q1_27,2026-07-17,90,78.12,75.02,71.51,78.54,Wait
Q2_27,2026-07-17,30,47.75,42.98,41.69,44.26,Wait
Q2_27,2026-07-17,60,47.75,44.39,42.67,46.1,Wait
Q2_27,2026-07-17,90,47.75,45.16,43.01,47.31,Wait
YR27,2026-07-17,30,66.0,60.49,58.7,62.27,Wait
YR27,2026-07-17,60,66.0,62.42,60.04,64.79,Wait
YR27,2026-07-17,90,66.0,63.24,60.27,66.21,Wait
YR28,2026-07-17,30,57.05,58.44,56.9,59.98,Neutral
YR28,2026-07-17,60,57.05,57.95,55.9,60.0,Neutral
YR28,2026-07-17,90,57.05,57.74,55.18,60.31,Neutral
