contract,forecast_date,horizon_days,current_price,point_forecast,lower_80ci,upper_80ci,signal
Q4_26,2026-08-12,30,107.49,100.35,97.45,103.25,Wait
Q4_26,2026-08-12,48,107.49,102.85,98.98,106.72,Wait
Q4_26,2026-08-12,48,107.49,103.92,99.08,108.76,Wait
Q1_27,2026-08-12,30,90.0,93.37,90.94,95.8,Potential Opportunity
Q1_27,2026-08-12,60,90.0,92.19,88.95,95.43,Neutral
Q1_27,2026-08-12,90,90.0,91.68,87.63,95.73,Neutral
Q2_27,2026-08-12,30,47.02,51.72,50.45,52.99,Potential Opportunity
Q2_27,2026-08-12,60,47.02,51.24,49.55,52.94,Potential Opportunity
Q2_27,2026-08-12,90,47.02,50.27,48.15,52.39,Potential Opportunity
YR27,2026-08-12,30,70.15,64.29,62.39,66.18,Wait
YR27,2026-08-12,60,70.15,66.34,63.81,68.86,Wait
YR27,2026-08-12,90,70.15,67.22,64.06,70.37,Wait
YR28,2026-08-12,30,57.0,57.81,56.27,59.34,Neutral
YR28,2026-08-12,60,57.0,57.52,55.47,59.58,Neutral
YR28,2026-08-12,90,57.0,57.4,54.84,59.97,Neutral
