contract,forecast_date,horizon_days,current_price,point_forecast,lower_80ci,upper_80ci,signal
Q4_26,2026-07-11,30,93.05,85.21,82.69,87.72,Wait
Q4_26,2026-07-11,60,93.05,87.95,84.6,91.3,Wait
Q4_26,2026-07-11,80,93.05,89.13,84.94,93.31,Wait
Q1_27,2026-07-11,30,75.25,73.03,71.0,75.07,Neutral
Q1_27,2026-07-11,60,75.25,73.81,71.1,76.52,Neutral
Q1_27,2026-07-11,90,75.25,74.14,70.76,77.53,Neutral
Q2_27,2026-07-11,30,45.0,46.48,45.27,47.7,Potential Opportunity
Q2_27,2026-07-11,60,45.0,45.96,44.34,47.58,Neutral
Q2_27,2026-07-11,90,45.0,45.74,43.72,47.77,Neutral
YR27,2026-07-11,30,63.95,62.18,60.45,63.91,Neutral
YR27,2026-07-11,60,63.95,62.8,60.5,65.1,Neutral
YR27,2026-07-11,90,63.95,63.06,60.19,65.94,Neutral
YR28,2026-07-11,30,57.05,59.16,57.62,60.7,Potential Opportunity
YR28,2026-07-11,60,57.05,58.42,56.37,60.48,Neutral
YR28,2026-07-11,90,57.05,58.11,55.54,60.67,Neutral
