contract,forecast_date,horizon_days,current_price,point_forecast,lower_80ci,upper_80ci,signal
Q4_26,2026-07-25,30,114.3,102.87,99.78,105.96,Wait
Q4_26,2026-07-25,60,114.3,100.58,96.47,104.7,Wait
Q4_26,2026-07-25,66,114.3,97.16,92.01,102.3,Wait
Q1_27,2026-07-25,30,87.75,78.98,76.61,81.34,Wait
Q1_27,2026-07-25,60,87.75,77.22,74.06,80.38,Wait
Q1_27,2026-07-25,90,87.75,74.59,70.64,78.54,Wait
Q2_27,2026-07-25,30,50.77,45.69,44.32,47.06,Wait
Q2_27,2026-07-25,60,50.77,44.68,42.85,46.51,Wait
Q2_27,2026-07-25,90,50.77,45.51,43.22,47.79,Wait
YR27,2026-07-25,30,70.9,63.81,61.9,65.72,Wait
YR27,2026-07-25,60,70.9,64.77,62.22,67.32,Wait
YR27,2026-07-25,90,70.9,66.18,62.99,69.37,Wait
YR28,2026-07-25,30,57.25,62.98,61.43,64.52,Potential Opportunity
YR28,2026-07-25,60,57.25,62.21,60.15,64.27,Potential Opportunity
YR28,2026-07-25,90,57.25,61.07,58.49,63.64,Potential Opportunity
