contract,forecast_date,horizon_days,current_price,point_forecast,lower_80ci,upper_80ci,signal
Q4_26,2026-09-20,9,146.8,135.44,131.47,139.4,Wait
Q4_26,2026-09-20,9,146.8,139.41,134.13,144.7,Wait
Q4_26,2026-09-20,9,146.8,141.12,134.51,147.72,Wait
Q1_27,2026-09-20,30,126.7,128.6,125.18,132.02,Neutral
Q1_27,2026-09-20,60,126.7,127.94,123.37,132.5,Neutral
Q1_27,2026-09-20,90,126.7,127.65,121.95,133.35,Neutral
Q2_27,2026-09-20,30,56.85,62.54,61.0,64.07,Potential Opportunity
Q2_27,2026-09-20,60,56.85,61.86,59.81,63.91,Potential Opportunity
Q2_27,2026-09-20,90,56.85,60.7,58.15,63.26,Potential Opportunity
YR27,2026-09-20,30,89.5,92.72,90.3,95.13,Potential Opportunity
YR27,2026-09-20,60,89.5,91.59,88.37,94.81,Neutral
YR27,2026-09-20,90,89.5,91.11,87.08,95.14,Neutral
YR28,2026-09-20,30,61.2,59.21,57.56,60.86,Wait
YR28,2026-09-20,60,61.2,59.91,57.7,62.11,Neutral
YR28,2026-09-20,90,61.2,60.2,57.45,62.96,Neutral
