contract,forecast_date,horizon_days,current_price,point_forecast,lower_80ci,upper_80ci,signal
Q3_26,2026-05-21,30,84.5,77.66,75.38,79.94,Wait
Q3_26,2026-05-21,39,84.5,80.05,77.01,83.09,Wait
Q3_26,2026-05-21,39,84.5,81.08,77.28,84.88,Wait
Q4_26,2026-05-21,30,88.0,81.14,78.76,83.51,Wait
Q4_26,2026-05-21,60,88.0,83.54,80.37,86.71,Wait
Q4_26,2026-05-21,90,88.0,84.57,80.61,88.53,Wait
Q1_27,2026-05-21,30,73.15,67.22,65.24,69.19,Wait
Q1_27,2026-05-21,60,73.15,69.29,66.66,71.93,Wait
Q1_27,2026-05-21,90,73.15,70.18,66.89,73.47,Wait
Q2_27,2026-05-21,30,39.81,43.79,42.72,44.87,Potential Opportunity
Q2_27,2026-05-21,60,39.81,42.74,41.31,44.18,Potential Opportunity
Q2_27,2026-05-21,90,39.81,42.07,40.27,43.86,Potential Opportunity
YR27,2026-05-21,30,59.6,57.48,55.87,59.09,Wait
YR27,2026-05-21,60,59.6,58.22,56.07,60.37,Neutral
YR27,2026-05-21,90,59.6,58.54,55.86,61.22,Neutral
YR28,2026-05-21,30,55.55,56.39,54.89,57.89,Neutral
YR28,2026-05-21,60,55.55,56.1,54.1,58.1,Neutral
YR28,2026-05-21,90,55.55,55.97,53.47,58.47,Neutral
