contract,forecast_date,horizon_days,current_price,point_forecast,lower_80ci,upper_80ci,signal
Q3_26,2026-06-07,22,86.75,83.55,81.21,85.89,Wait
Q3_26,2026-06-07,22,86.75,84.67,81.55,87.79,Neutral
Q3_26,2026-06-07,22,86.75,85.15,81.25,89.05,Neutral
Q4_26,2026-06-07,30,90.8,86.51,84.06,88.96,Wait
Q4_26,2026-06-07,60,90.8,88.01,84.74,91.28,Wait
Q4_26,2026-06-07,90,90.8,88.65,84.57,92.74,Neutral
Q1_27,2026-06-07,30,72.0,73.62,71.67,75.56,Neutral
Q1_27,2026-06-07,60,72.0,73.05,70.46,75.64,Neutral
Q1_27,2026-06-07,90,72.0,72.81,69.57,76.05,Neutral
Q2_27,2026-06-07,30,43.32,47.65,46.48,48.82,Potential Opportunity
Q2_27,2026-06-07,60,43.32,46.5,44.94,48.06,Potential Opportunity
Q2_27,2026-06-07,90,43.32,45.77,43.82,47.71,Potential Opportunity
YR27,2026-06-07,30,61.8,58.46,56.79,60.12,Wait
YR27,2026-06-07,60,61.8,59.63,57.4,61.85,Wait
YR27,2026-06-07,90,61.8,60.13,57.35,62.91,Neutral
YR28,2026-06-07,30,58.25,56.46,54.89,58.04,Wait
YR28,2026-06-07,60,58.25,57.09,54.99,59.19,Neutral
YR28,2026-06-07,90,58.25,57.36,54.74,59.98,Neutral
