contract,forecast_date,horizon_days,current_price,point_forecast,lower_80ci,upper_80ci,signal
Q4_26,2026-06-30,30,84.2,78.78,76.51,81.05,Wait
Q4_26,2026-06-30,60,84.2,80.68,77.65,83.71,Wait
Q4_26,2026-06-30,90,84.2,81.49,77.7,85.28,Wait
Q1_27,2026-06-30,30,71.0,65.63,63.72,67.55,Wait
Q1_27,2026-06-30,60,71.0,67.51,64.96,70.07,Wait
Q1_27,2026-06-30,90,71.0,68.32,65.12,71.51,Wait
Q2_27,2026-06-30,30,41.79,39.83,38.7,40.96,Wait
Q2_27,2026-06-30,60,41.79,40.52,39.01,42.02,Wait
Q2_27,2026-06-30,90,41.79,40.81,38.93,42.69,Neutral
YR27,2026-06-30,30,60.2,60.72,59.1,62.35,Neutral
YR27,2026-06-30,60,60.2,60.54,58.37,62.71,Neutral
YR27,2026-06-30,90,60.2,60.46,57.75,63.17,Neutral
YR28,2026-06-30,30,57.0,57.88,56.34,59.42,Neutral
YR28,2026-06-30,60,57.0,57.57,55.52,59.62,Neutral
YR28,2026-06-30,90,57.0,57.44,54.87,60.0,Neutral
