contract,forecast_date,horizon_days,current_price,point_forecast,lower_80ci,upper_80ci,signal
Q4_26,2026-08-14,30,108.6,100.71,97.77,103.64,Wait
Q4_26,2026-08-14,46,108.6,103.47,99.56,107.38,Wait
Q4_26,2026-08-14,46,108.6,104.65,99.77,109.54,Wait
Q1_27,2026-08-14,30,89.1,91.7,89.3,94.11,Neutral
Q1_27,2026-08-14,60,89.1,90.79,87.58,94.0,Neutral
Q1_27,2026-08-14,90,89.1,90.4,86.39,94.41,Neutral
Q2_27,2026-08-14,30,47.72,52.49,51.2,53.78,Potential Opportunity
Q2_27,2026-08-14,60,47.72,50.89,49.17,52.61,Potential Opportunity
Q2_27,2026-08-14,90,47.72,50.16,48.01,52.31,Potential Opportunity
YR27,2026-08-14,30,70.65,64.54,62.63,66.45,Wait
YR27,2026-08-14,60,70.65,66.68,64.13,69.22,Wait
YR27,2026-08-14,90,70.65,67.59,64.41,70.77,Wait
YR28,2026-08-14,30,57.25,57.69,56.15,59.24,Neutral
YR28,2026-08-14,60,57.25,57.54,55.48,59.6,Neutral
YR28,2026-08-14,90,57.25,57.47,54.9,60.05,Neutral
