contract,forecast_date,horizon_days,current_price,point_forecast,lower_80ci,upper_80ci,signal
Q4_26,2026-07-08,30,90.9,83.62,81.17,86.08,Wait
Q4_26,2026-07-08,60,90.9,86.17,82.9,89.44,Wait
Q4_26,2026-07-08,83,90.9,87.26,83.17,91.35,Wait
Q1_27,2026-07-08,30,74.2,72.19,70.18,74.19,Neutral
Q1_27,2026-07-08,60,74.2,72.89,70.22,75.56,Neutral
Q1_27,2026-07-08,90,74.2,73.19,69.85,76.53,Neutral
Q2_27,2026-07-08,30,45.43,46.42,45.2,47.65,Neutral
Q2_27,2026-07-08,60,45.43,46.07,44.44,47.71,Neutral
Q2_27,2026-07-08,90,45.43,45.93,43.88,47.97,Neutral
YR27,2026-07-08,30,63.2,62.16,60.45,63.87,Neutral
YR27,2026-07-08,60,63.2,62.52,60.25,64.8,Neutral
YR27,2026-07-08,90,63.2,62.68,59.84,65.52,Neutral
YR28,2026-07-08,30,56.95,59.19,57.65,60.73,Potential Opportunity
YR28,2026-07-08,60,56.95,58.41,56.36,60.46,Neutral
YR28,2026-07-08,90,56.95,58.07,55.51,60.63,Neutral
