contract,forecast_date,horizon_days,current_price,point_forecast,lower_80ci,upper_80ci,signal
Q4_26,2026-07-16,30,101.44,91.3,88.56,94.03,Wait
Q4_26,2026-07-16,60,101.44,92.52,88.87,96.17,Wait
Q4_26,2026-07-16,75,101.44,94.58,90.01,99.14,Wait
Q1_27,2026-07-16,30,78.0,71.15,69.04,73.25,Wait
Q1_27,2026-07-16,60,78.0,73.54,70.74,76.35,Wait
Q1_27,2026-07-16,90,78.0,74.57,71.06,78.08,Wait
Q2_27,2026-07-16,30,47.0,43.95,42.68,45.22,Wait
Q2_27,2026-07-16,60,47.0,45.02,43.33,46.71,Wait
Q2_27,2026-07-16,90,47.0,45.48,43.36,47.59,Wait
YR27,2026-07-16,30,65.9,60.82,59.04,62.6,Wait
YR27,2026-07-16,60,65.9,62.6,60.22,64.97,Wait
YR27,2026-07-16,90,65.9,63.36,60.39,66.32,Wait
YR28,2026-07-16,30,57.4,58.4,56.86,59.95,Neutral
YR28,2026-07-16,60,57.4,58.05,55.99,60.12,Neutral
YR28,2026-07-16,90,57.4,57.9,55.32,60.49,Neutral
