contract,forecast_date,horizon_days,current_price,point_forecast,lower_80ci,upper_80ci,signal
Q3_26,2026-05-27,30,85.6,78.8,76.49,81.11,Wait
Q3_26,2026-05-27,33,85.6,81.18,78.1,84.26,Wait
Q3_26,2026-05-27,33,85.6,82.2,78.35,86.05,Wait
Q4_26,2026-05-27,30,87.8,82.5,80.13,84.87,Wait
Q4_26,2026-05-27,60,87.8,84.35,81.19,87.52,Wait
Q4_26,2026-05-27,90,87.8,85.15,81.2,89.1,Wait
Q1_27,2026-05-27,30,73.25,68.94,66.96,70.92,Wait
Q1_27,2026-05-27,60,73.25,70.45,67.81,73.08,Wait
Q1_27,2026-05-27,90,73.25,71.09,67.8,74.39,Neutral
Q2_27,2026-05-27,30,41.9,44.99,43.85,46.12,Potential Opportunity
Q2_27,2026-05-27,60,41.9,43.91,42.4,45.41,Potential Opportunity
Q2_27,2026-05-27,90,41.9,43.44,41.56,45.33,Potential Opportunity
YR27,2026-05-27,30,59.95,58.25,56.63,59.87,Neutral
YR27,2026-05-27,60,59.95,58.84,56.69,61.0,Neutral
YR27,2026-05-27,90,59.95,59.1,56.4,61.8,Neutral
YR28,2026-05-27,30,55.5,56.23,54.73,57.72,Neutral
YR28,2026-05-27,60,55.5,55.97,53.97,57.97,Neutral
YR28,2026-05-27,90,55.5,55.86,53.37,58.36,Neutral
