contract,forecast_date,horizon_days,current_price,point_forecast,lower_80ci,upper_80ci,signal
Q3_26,2026-06-02,27,88.45,82.58,80.19,84.97,Wait
Q3_26,2026-06-02,27,88.45,84.63,81.45,87.82,Wait
Q3_26,2026-06-02,27,88.45,85.51,81.53,89.49,Wait
Q4_26,2026-06-02,30,92.0,85.54,83.05,88.02,Wait
Q4_26,2026-06-02,60,92.0,87.8,84.49,91.11,Wait
Q4_26,2026-06-02,90,92.0,88.77,84.63,92.91,Wait
Q1_27,2026-06-02,30,75.31,73.65,71.61,75.68,Neutral
Q1_27,2026-06-02,60,75.31,74.23,71.52,76.94,Neutral
Q1_27,2026-06-02,90,75.31,74.48,71.09,77.87,Neutral
Q2_27,2026-06-02,30,41.98,45.59,44.45,46.72,Potential Opportunity
Q2_27,2026-06-02,60,41.98,44.32,42.81,45.84,Potential Opportunity
Q2_27,2026-06-02,90,41.98,43.78,41.89,45.67,Potential Opportunity
YR27,2026-06-02,30,61.4,59.08,57.43,60.74,Wait
YR27,2026-06-02,60,61.4,59.89,57.68,62.1,Neutral
YR27,2026-06-02,90,61.4,60.24,57.48,63.0,Neutral
YR28,2026-06-02,30,57.4,56.09,54.54,57.64,Neutral
YR28,2026-06-02,60,57.4,56.55,54.49,58.62,Neutral
YR28,2026-06-02,90,57.4,56.75,54.16,59.33,Neutral
