contract,forecast_date,horizon_days,current_price,point_forecast,lower_80ci,upper_80ci,signal
Q3_26,2026-06-17,12,84.25,75.83,73.55,78.1,Wait
Q3_26,2026-06-17,12,84.25,74.14,71.11,77.17,Wait
Q3_26,2026-06-17,12,84.25,74.65,70.86,78.44,Wait
Q4_26,2026-06-17,30,87.85,79.06,76.69,81.44,Wait
Q4_26,2026-06-17,60,87.85,77.31,74.15,80.47,Wait
Q4_26,2026-06-17,90,87.85,76.31,72.35,80.26,Wait
Q1_27,2026-06-17,30,73.0,65.7,63.73,67.67,Wait
Q1_27,2026-06-17,60,73.0,64.24,61.61,66.87,Wait
Q1_27,2026-06-17,90,73.0,62.05,58.76,65.33,Wait
Q2_27,2026-06-17,30,41.5,44.48,43.35,45.6,Potential Opportunity
Q2_27,2026-06-17,60,41.5,43.43,41.94,44.93,Potential Opportunity
Q2_27,2026-06-17,90,41.5,42.99,41.12,44.86,Potential Opportunity
YR27,2026-06-17,30,60.1,59.69,58.07,61.31,Neutral
YR27,2026-06-17,60,60.1,59.83,57.67,62.0,Neutral
YR27,2026-06-17,90,60.1,59.9,57.19,62.6,Neutral
YR28,2026-06-17,30,56.7,62.37,60.84,63.9,Potential Opportunity
YR28,2026-06-17,60,56.7,60.7,58.66,62.74,Potential Opportunity
YR28,2026-06-17,90,56.7,59.78,57.23,62.33,Potential Opportunity
