contract,forecast_date,horizon_days,current_price,point_forecast,lower_80ci,upper_80ci,signal
Q4_26,2026-09-03,26,136.65,122.99,119.3,126.67,Wait
Q4_26,2026-09-03,26,136.65,127.46,122.54,132.38,Wait
Q4_26,2026-09-03,26,136.65,129.58,123.43,135.73,Wait
Q1_27,2026-09-03,30,114.75,111.91,108.81,115.01,Neutral
Q1_27,2026-09-03,60,114.75,112.9,108.77,117.03,Neutral
Q1_27,2026-09-03,90,114.75,113.33,108.17,118.49,Neutral
Q2_27,2026-09-03,30,53.98,55.91,54.45,57.36,Potential Opportunity
Q2_27,2026-09-03,60,53.98,55.23,53.29,57.18,Neutral
Q2_27,2026-09-03,90,53.98,54.94,52.51,57.37,Neutral
YR27,2026-09-03,30,82.2,73.98,71.76,76.2,Wait
YR27,2026-09-03,60,82.2,75.4,72.44,78.36,Wait
YR27,2026-09-03,90,82.2,76.97,73.27,80.67,Wait
YR28,2026-09-03,30,62.5,56.6,54.91,58.29,Wait
YR28,2026-09-03,60,62.5,58.66,56.41,60.91,Wait
YR28,2026-09-03,90,62.5,59.55,56.74,62.36,Wait
