contract,forecast_date,horizon_days,current_price,point_forecast,lower_80ci,upper_80ci,signal
Q4_26,2026-08-27,30,117.85,111.11,107.93,114.29,Wait
Q4_26,2026-08-27,33,117.85,113.47,109.22,117.71,Wait
Q4_26,2026-08-27,33,117.85,114.48,109.18,119.78,Neutral
Q1_27,2026-08-27,30,98.5,100.62,97.96,103.28,Neutral
Q1_27,2026-08-27,60,98.5,99.88,96.33,103.42,Neutral
Q1_27,2026-08-27,90,98.5,99.56,95.13,103.99,Neutral
Q2_27,2026-08-27,30,51.0,56.1,54.72,57.48,Potential Opportunity
Q2_27,2026-08-27,60,51.0,55.28,53.45,57.12,Potential Opportunity
Q2_27,2026-08-27,90,51.0,54.3,52.0,56.59,Potential Opportunity
YR27,2026-08-27,30,74.75,68.76,66.74,70.78,Wait
YR27,2026-08-27,60,74.75,70.86,68.17,73.55,Wait
YR27,2026-08-27,90,74.75,71.76,68.39,75.12,Wait
YR28,2026-08-27,30,58.75,57.23,55.65,58.82,Neutral
YR28,2026-08-27,60,58.75,57.76,55.65,59.88,Neutral
YR28,2026-08-27,90,58.75,57.99,55.35,60.63,Neutral
