contract,forecast_date,horizon_days,current_price,point_forecast,lower_80ci,upper_80ci,signal
Q3_26,2026-06-26,3,79.0,76.23,74.09,78.36,Wait
Q3_26,2026-06-26,3,79.0,77.2,74.35,80.04,Neutral
Q3_26,2026-06-26,3,79.0,77.61,74.06,81.17,Neutral
Q4_26,2026-06-26,30,83.2,80.05,77.81,82.3,Wait
Q4_26,2026-06-26,60,83.2,81.16,78.16,84.15,Neutral
Q4_26,2026-06-26,90,83.2,81.63,77.88,85.37,Neutral
Q1_27,2026-06-26,30,71.75,66.03,64.1,67.97,Wait
Q1_27,2026-06-26,60,71.75,68.03,65.45,70.62,Wait
Q1_27,2026-06-26,90,71.75,68.89,65.66,72.12,Wait
Q2_27,2026-06-26,30,41.3,38.32,37.2,39.43,Wait
Q2_27,2026-06-26,60,41.3,39.36,37.88,40.85,Wait
Q2_27,2026-06-26,90,41.3,39.81,37.95,41.67,Wait
YR27,2026-06-26,30,59.25,60.56,58.96,62.16,Neutral
YR27,2026-06-26,60,59.25,60.1,57.97,62.23,Neutral
YR27,2026-06-26,90,59.25,59.9,57.24,62.57,Neutral
YR28,2026-06-26,30,57.3,57.57,56.03,59.12,Neutral
YR28,2026-06-26,60,57.3,57.48,55.41,59.54,Neutral
YR28,2026-06-26,90,57.3,57.44,54.86,60.01,Neutral
