contract,forecast_date,horizon_days,current_price,point_forecast,lower_80ci,upper_80ci,signal
Q4_26,2026-08-31,29,121.0,111.49,108.23,114.76,Wait
Q4_26,2026-08-31,29,121.0,114.82,110.46,119.18,Wait
Q4_26,2026-08-31,29,121.0,116.25,110.8,121.69,Wait
Q1_27,2026-08-31,30,100.75,101.76,99.04,104.48,Neutral
Q1_27,2026-08-31,60,100.75,101.41,97.78,105.03,Neutral
Q1_27,2026-08-31,90,100.75,101.25,96.72,105.79,Neutral
Q2_27,2026-08-31,30,49.7,54.67,53.33,56.01,Potential Opportunity
Q2_27,2026-08-31,60,49.7,54.62,52.83,56.4,Potential Opportunity
Q2_27,2026-08-31,90,49.7,53.48,51.24,55.72,Potential Opportunity
YR27,2026-08-31,30,75.7,71.02,68.97,73.06,Wait
YR27,2026-08-31,60,75.7,72.66,69.93,75.38,Wait
YR27,2026-08-31,90,75.7,73.36,69.95,76.76,Wait
YR28,2026-08-31,30,58.6,57.13,55.55,58.71,Neutral
YR28,2026-08-31,60,58.6,57.65,55.54,59.76,Neutral
YR28,2026-08-31,90,58.6,57.87,55.23,60.5,Neutral
