contract,forecast_date,horizon_days,current_price,point_forecast,lower_80ci,upper_80ci,signal
Q4_26,2026-09-07,22,133.5,122.82,119.22,126.43,Wait
Q4_26,2026-09-07,22,133.5,126.56,121.75,131.37,Wait
Q4_26,2026-09-07,22,133.5,128.16,122.15,134.17,Wait
Q1_27,2026-09-07,30,112.5,115.11,112.07,118.15,Neutral
Q1_27,2026-09-07,60,112.5,114.2,110.15,118.25,Neutral
Q1_27,2026-09-07,90,112.5,113.8,108.74,118.87,Neutral
Q2_27,2026-09-07,30,53.9,57.51,56.06,58.97,Potential Opportunity
Q2_27,2026-09-07,60,53.9,56.25,54.31,58.19,Potential Opportunity
Q2_27,2026-09-07,90,53.9,55.71,53.28,58.13,Potential Opportunity
YR27,2026-09-07,30,81.0,74.75,72.56,76.93,Wait
YR27,2026-09-07,60,81.0,76.93,74.02,79.85,Wait
YR27,2026-09-07,90,81.0,77.87,74.23,81.52,Wait
YR28,2026-09-07,30,60.8,57.55,55.9,59.19,Wait
YR28,2026-09-07,60,60.8,58.68,56.5,60.87,Wait
YR28,2026-09-07,90,60.8,59.17,56.44,61.91,Neutral
