contract,forecast_date,horizon_days,current_price,point_forecast,lower_80ci,upper_80ci,signal
Q3_26,2026-05-22,30,84.4,77.4,75.12,79.68,Wait
Q3_26,2026-05-22,38,84.4,79.85,76.81,82.89,Wait
Q3_26,2026-05-22,38,84.4,80.9,77.1,84.7,Wait
Q4_26,2026-05-22,30,88.3,80.57,78.18,82.95,Wait
Q4_26,2026-05-22,60,88.3,83.27,80.09,86.45,Wait
Q4_26,2026-05-22,90,88.3,84.43,80.46,88.41,Wait
Q1_27,2026-05-22,30,73.3,68.05,66.07,70.03,Wait
Q1_27,2026-05-22,60,73.3,69.89,67.25,72.52,Wait
Q1_27,2026-05-22,90,73.3,70.67,67.38,73.97,Wait
Q2_27,2026-05-22,30,39.99,43.08,42.0,44.16,Potential Opportunity
Q2_27,2026-05-22,60,39.99,42.0,40.56,43.44,Potential Opportunity
Q2_27,2026-05-22,90,39.99,41.54,39.74,43.34,Potential Opportunity
YR27,2026-05-22,30,59.5,57.71,56.1,59.31,Wait
YR27,2026-05-22,60,59.5,58.34,56.19,60.48,Neutral
YR27,2026-05-22,90,59.5,58.6,55.93,61.28,Neutral
YR28,2026-05-22,30,55.5,56.31,54.81,57.81,Neutral
YR28,2026-05-22,60,55.5,56.03,54.03,58.02,Neutral
YR28,2026-05-22,90,55.5,55.9,53.41,58.4,Neutral
