contract,forecast_date,horizon_days,current_price,point_forecast,lower_80ci,upper_80ci,signal
Q4_26,2026-08-04,30,104.75,94.28,91.45,97.1,Wait
Q4_26,2026-08-04,56,104.75,92.18,88.41,95.95,Wait
Q4_26,2026-08-04,56,104.75,89.82,85.11,94.53,Wait
Q1_27,2026-08-04,30,85.73,77.16,74.84,79.47,Wait
Q1_27,2026-08-04,60,85.73,75.44,72.36,78.53,Wait
Q1_27,2026-08-04,90,85.73,74.04,70.19,77.9,Wait
Q2_27,2026-08-04,30,47.31,46.76,45.49,48.04,Neutral
Q2_27,2026-08-04,60,47.31,46.95,45.25,48.66,Neutral
Q2_27,2026-08-04,90,47.31,47.04,44.91,49.17,Neutral
YR27,2026-08-04,30,67.0,62.65,60.84,64.46,Wait
YR27,2026-08-04,60,67.0,64.17,61.76,66.58,Wait
YR27,2026-08-04,90,67.0,64.82,61.81,67.84,Wait
YR28,2026-08-04,30,56.4,62.04,60.52,63.56,Potential Opportunity
YR28,2026-08-04,60,56.4,61.61,59.58,63.64,Potential Opportunity
YR28,2026-08-04,90,56.4,60.41,57.87,62.95,Potential Opportunity
