contract,forecast_date,horizon_days,current_price,point_forecast,lower_80ci,upper_80ci,signal
Q4_26,2026-07-02,30,85.95,81.78,79.46,84.11,Wait
Q4_26,2026-07-02,60,85.95,83.24,80.15,86.34,Wait
Q4_26,2026-07-02,89,85.95,83.87,80.0,87.74,Neutral
Q1_27,2026-07-02,30,71.3,68.8,66.87,70.72,Wait
Q1_27,2026-07-02,60,71.3,69.67,67.11,72.24,Neutral
Q1_27,2026-07-02,90,71.3,70.05,66.84,73.26,Neutral
Q2_27,2026-07-02,30,43.57,44.33,43.16,45.51,Neutral
Q2_27,2026-07-02,60,43.57,44.07,42.5,45.63,Neutral
Q2_27,2026-07-02,90,43.57,43.95,41.99,45.91,Neutral
YR27,2026-07-02,30,60.55,62.02,60.39,63.66,Neutral
YR27,2026-07-02,60,60.55,61.51,59.33,63.69,Neutral
YR27,2026-07-02,90,60.55,61.29,58.56,64.01,Neutral
YR28,2026-07-02,30,56.85,59.29,57.75,60.82,Potential Opportunity
YR28,2026-07-02,60,56.85,58.44,56.39,60.48,Neutral
YR28,2026-07-02,90,56.85,58.07,55.51,60.63,Neutral
