contract,forecast_date,horizon_days,current_price,point_forecast,lower_80ci,upper_80ci,signal
Q4_26,2026-08-29,30,121.0,108.9,105.63,112.17,Wait
Q4_26,2026-08-29,31,121.0,106.48,102.12,110.84,Wait
Q4_26,2026-08-29,31,121.0,107.19,101.74,112.63,Wait
Q1_27,2026-08-29,30,100.75,90.67,87.95,93.4,Wait
Q1_27,2026-08-29,60,100.75,93.13,89.5,96.75,Wait
Q1_27,2026-08-29,90,100.75,94.89,90.35,99.42,Wait
Q2_27,2026-08-29,30,49.7,53.24,51.89,54.58,Potential Opportunity
Q2_27,2026-08-29,60,49.7,52.0,50.21,53.79,Potential Opportunity
Q2_27,2026-08-29,90,49.7,51.47,49.23,53.7,Potential Opportunity
YR27,2026-08-29,30,75.7,68.13,66.09,70.17,Wait
YR27,2026-08-29,60,75.7,69.35,66.63,72.08,Wait
YR27,2026-08-29,90,75.7,70.82,67.41,74.22,Wait
YR28,2026-08-29,30,58.6,64.46,62.88,66.04,Potential Opportunity
YR28,2026-08-29,60,58.6,62.59,60.48,64.7,Potential Opportunity
YR28,2026-08-29,90,58.6,61.67,59.03,64.31,Potential Opportunity
