contract,forecast_date,horizon_days,current_price,point_forecast,lower_80ci,upper_80ci,signal
Q4_26,2026-08-11,30,110.75,99.67,96.68,102.67,Wait
Q4_26,2026-08-11,49,110.75,101.97,97.98,105.96,Wait
Q4_26,2026-08-11,49,110.75,104.0,99.01,108.98,Wait
Q1_27,2026-08-11,30,92.0,87.58,85.09,90.06,Wait
Q1_27,2026-08-11,60,92.0,89.12,85.81,92.44,Wait
Q1_27,2026-08-11,90,92.0,89.79,85.65,93.93,Neutral
Q2_27,2026-08-11,30,46.39,51.03,49.78,52.28,Potential Opportunity
Q2_27,2026-08-11,60,46.39,49.89,48.22,51.56,Potential Opportunity
Q2_27,2026-08-11,90,46.39,49.09,47.0,51.17,Potential Opportunity
YR27,2026-08-11,30,70.0,63.83,61.94,65.72,Wait
YR27,2026-08-11,60,70.0,65.99,63.47,68.51,Wait
YR27,2026-08-11,90,70.0,66.92,63.77,70.07,Wait
YR28,2026-08-11,30,57.5,57.69,56.14,59.24,Neutral
YR28,2026-08-11,60,57.5,57.62,55.55,59.69,Neutral
YR28,2026-08-11,90,57.5,57.59,55.01,60.18,Neutral
