contract,forecast_date,horizon_days,current_price,point_forecast,lower_80ci,upper_80ci,signal
Q4_26,2026-07-31,30,105.6,97.43,94.58,100.28,Wait
Q4_26,2026-07-31,60,105.6,100.29,96.49,104.09,Wait
Q4_26,2026-07-31,60,105.6,101.51,96.76,106.27,Wait
Q1_27,2026-07-31,30,87.0,81.61,79.26,83.95,Wait
Q1_27,2026-07-31,60,87.0,83.49,80.36,86.63,Wait
Q1_27,2026-07-31,90,87.0,84.3,80.39,88.22,Wait
Q2_27,2026-07-31,30,47.82,47.51,46.22,48.8,Neutral
Q2_27,2026-07-31,60,47.82,47.62,45.9,49.34,Neutral
Q2_27,2026-07-31,90,47.82,47.66,45.51,49.82,Neutral
YR27,2026-07-31,30,67.4,61.89,60.07,63.71,Wait
YR27,2026-07-31,60,67.4,63.82,61.39,66.25,Wait
YR27,2026-07-31,90,67.4,64.65,61.61,67.68,Wait
YR28,2026-07-31,30,56.95,58.84,57.3,60.38,Potential Opportunity
YR28,2026-07-31,60,56.95,58.18,56.13,60.23,Neutral
YR28,2026-07-31,90,56.95,57.9,55.33,60.46,Neutral
