contract,forecast_date,horizon_days,current_price,point_forecast,lower_80ci,upper_80ci,signal
Q4_26,2026-09-23,6,138.75,132.28,128.54,136.03,Wait
Q4_26,2026-09-23,6,138.75,134.55,129.55,139.54,Wait
Q4_26,2026-09-23,6,138.75,135.52,129.27,141.76,Neutral
Q1_27,2026-09-23,30,119.0,130.9,127.69,134.11,Potential Opportunity
Q1_27,2026-09-23,60,119.0,131.06,126.78,135.35,Potential Opportunity
Q1_27,2026-09-23,90,119.0,128.28,122.92,133.63,Potential Opportunity
Q2_27,2026-09-23,30,55.5,61.05,59.55,62.55,Potential Opportunity
Q2_27,2026-09-23,60,55.5,62.16,60.16,64.16,Potential Opportunity
Q2_27,2026-09-23,90,55.5,62.19,59.69,64.69,Potential Opportunity
Q3_27,2026-09-23,30,82.25,83.39,81.16,85.61,Neutral
Q3_27,2026-09-23,60,82.25,82.99,80.03,85.95,Neutral
Q3_27,2026-09-23,90,82.25,82.82,79.12,86.52,Neutral
Q4_27,2026-09-23,30,87.65,91.05,88.68,93.41,Potential Opportunity
Q4_27,2026-09-23,60,87.65,89.86,86.7,93.01,Neutral
Q4_27,2026-09-23,90,87.65,89.35,85.4,93.29,Neutral
YR27,2026-09-23,30,86.0,94.6,92.28,96.92,Potential Opportunity
YR27,2026-09-23,60,86.0,93.12,90.02,96.21,Potential Opportunity
YR27,2026-09-23,90,86.0,91.48,87.61,95.35,Potential Opportunity
YR28,2026-09-23,30,59.3,59.95,58.35,61.55,Neutral
YR28,2026-09-23,60,59.3,59.72,57.59,61.86,Neutral
YR28,2026-09-23,90,59.3,59.62,56.96,62.29,Neutral
