contract,forecast_date,horizon_days,current_price,point_forecast,lower_80ci,upper_80ci,signal
Q4_26,2026-07-18,30,104.3,93.87,91.05,96.69,Wait
Q4_26,2026-07-18,60,104.3,94.42,90.67,98.17,Wait
Q4_26,2026-07-18,73,104.3,96.7,92.01,101.39,Wait
Q1_27,2026-07-18,30,80.4,72.36,70.19,74.53,Wait
Q1_27,2026-07-18,60,80.4,75.17,72.28,78.07,Wait
Q1_27,2026-07-18,90,80.4,76.38,72.76,80.0,Wait
Q2_27,2026-07-18,30,48.5,43.65,42.34,44.96,Wait
Q2_27,2026-07-18,60,48.5,43.56,41.81,45.3,Wait
Q2_27,2026-07-18,90,48.5,44.7,42.51,46.88,Wait
YR27,2026-07-18,30,67.3,60.78,58.96,62.59,Wait
YR27,2026-07-18,60,67.3,63.06,60.64,65.48,Wait
YR27,2026-07-18,90,67.3,64.04,61.01,67.07,Wait
YR28,2026-07-18,30,57.43,58.71,57.16,60.26,Neutral
YR28,2026-07-18,60,57.43,58.26,56.19,60.33,Neutral
YR28,2026-07-18,90,57.43,58.07,55.49,60.65,Neutral
