contract,forecast_date,horizon_days,current_price,point_forecast,lower_80ci,upper_80ci,signal
Q4_26,2026-08-15,30,109.93,100.76,97.79,103.73,Wait
Q4_26,2026-08-15,45,109.93,103.97,100.01,107.93,Wait
Q4_26,2026-08-15,45,109.93,105.35,100.4,110.29,Wait
Q1_27,2026-08-15,30,89.75,91.29,88.86,93.71,Neutral
Q1_27,2026-08-15,60,89.75,90.75,87.52,93.98,Neutral
Q1_27,2026-08-15,90,89.75,90.52,86.48,94.56,Neutral
Q2_27,2026-08-15,30,48.64,53.5,52.19,54.82,Potential Opportunity
Q2_27,2026-08-15,60,48.64,51.88,50.13,53.63,Potential Opportunity
Q2_27,2026-08-15,90,48.64,51.13,48.95,53.32,Potential Opportunity
YR27,2026-08-15,30,71.75,65.07,63.13,67.0,Wait
YR27,2026-08-15,60,71.75,67.41,64.82,69.99,Wait
YR27,2026-08-15,90,71.75,68.41,65.18,71.64,Wait
YR28,2026-08-15,30,57.75,57.77,56.21,59.33,Neutral
YR28,2026-08-15,60,57.75,57.76,55.68,59.84,Neutral
YR28,2026-08-15,90,57.75,57.76,55.16,60.36,Neutral
