contract,forecast_date,horizon_days,current_price,point_forecast,lower_80ci,upper_80ci,signal
Q3_26,2026-06-08,21,86.75,83.55,81.21,85.89,Wait
Q3_26,2026-06-08,21,86.75,84.67,81.55,87.79,Neutral
Q3_26,2026-06-08,21,86.75,85.15,81.25,89.05,Neutral
Q4_26,2026-06-08,30,90.8,86.41,83.96,88.86,Wait
Q4_26,2026-06-08,60,90.8,87.94,84.68,91.21,Wait
Q4_26,2026-06-08,90,90.8,88.6,84.52,92.69,Neutral
Q1_27,2026-06-08,30,72.0,73.66,71.72,75.61,Neutral
Q1_27,2026-06-08,60,72.0,73.08,70.49,75.67,Neutral
Q1_27,2026-06-08,90,72.0,72.83,69.59,76.07,Neutral
Q2_27,2026-06-08,30,43.32,47.65,46.48,48.82,Potential Opportunity
Q2_27,2026-06-08,60,43.32,46.64,45.09,48.2,Potential Opportunity
Q2_27,2026-06-08,90,43.32,45.88,43.93,47.83,Potential Opportunity
YR27,2026-06-08,30,61.8,58.26,56.59,59.93,Wait
YR27,2026-06-08,60,61.8,59.5,57.27,61.72,Wait
YR27,2026-06-08,90,61.8,60.03,57.25,62.81,Neutral
YR28,2026-06-08,30,58.25,56.24,54.67,57.81,Wait
YR28,2026-06-08,60,58.25,56.94,54.85,59.04,Neutral
YR28,2026-06-08,90,58.25,57.25,54.62,59.87,Neutral
