contract,forecast_date,horizon_days,current_price,point_forecast,lower_80ci,upper_80ci,signal
Q4_26,2026-09-02,27,132.0,119.61,116.05,123.18,Wait
Q4_26,2026-09-02,27,132.0,123.95,119.2,128.7,Wait
Q4_26,2026-09-02,27,132.0,125.81,119.87,131.75,Wait
Q1_27,2026-09-02,30,110.2,108.11,105.13,111.08,Neutral
Q1_27,2026-09-02,60,110.2,108.84,104.87,112.81,Neutral
Q1_27,2026-09-02,90,110.2,109.15,104.2,114.11,Neutral
Q2_27,2026-09-02,30,51.87,56.08,54.68,57.48,Potential Opportunity
Q2_27,2026-09-02,60,51.87,54.61,52.74,56.47,Potential Opportunity
Q2_27,2026-09-02,90,51.87,53.97,51.64,56.31,Potential Opportunity
YR27,2026-09-02,30,79.0,71.67,69.54,73.81,Wait
YR27,2026-09-02,60,79.0,74.24,71.39,77.08,Wait
YR27,2026-09-02,90,79.0,75.34,71.78,78.89,Wait
YR28,2026-09-02,30,60.0,57.18,55.56,58.8,Wait
YR28,2026-09-02,60,60.0,58.17,56.01,60.33,Wait
YR28,2026-09-02,90,60.0,58.59,55.89,61.29,Neutral
