contract,forecast_date,horizon_days,current_price,point_forecast,lower_80ci,upper_80ci,signal
Q3_26,2026-06-12,17,89.4,83.98,81.57,86.4,Wait
Q3_26,2026-06-12,17,89.4,85.88,82.66,89.1,Wait
Q3_26,2026-06-12,17,89.4,86.69,82.67,90.71,Wait
Q4_26,2026-06-12,30,94.0,87.18,84.65,89.72,Wait
Q4_26,2026-06-12,60,94.0,89.57,86.19,92.95,Wait
Q4_26,2026-06-12,90,94.0,90.59,86.36,94.82,Wait
Q1_27,2026-06-12,30,77.8,74.91,72.81,77.01,Wait
Q1_27,2026-06-12,60,77.8,75.92,73.12,78.72,Neutral
Q1_27,2026-06-12,90,77.8,76.36,72.85,79.86,Neutral
Q2_27,2026-06-12,30,42.86,47.15,45.99,48.3,Potential Opportunity
Q2_27,2026-06-12,60,42.86,47.6,46.06,49.15,Potential Opportunity
Q2_27,2026-06-12,90,42.86,46.51,44.58,48.44,Potential Opportunity
YR27,2026-06-12,30,63.75,59.18,57.46,60.91,Wait
YR27,2026-06-12,60,63.75,60.78,58.49,63.08,Wait
YR27,2026-06-12,90,63.75,61.47,58.6,64.34,Wait
YR28,2026-06-12,30,58.8,56.57,54.98,58.16,Wait
YR28,2026-06-12,60,58.8,57.35,55.23,59.47,Neutral
YR28,2026-06-12,90,58.8,57.68,55.04,60.33,Neutral
