contract,forecast_date,horizon_days,current_price,point_forecast,lower_80ci,upper_80ci,signal
Q4_26,2026-09-08,21,135.45,123.48,119.82,127.14,Wait
Q4_26,2026-09-08,21,135.45,127.67,122.79,132.55,Wait
Q4_26,2026-09-08,21,135.45,129.47,123.37,135.56,Wait
Q1_27,2026-09-08,30,114.9,114.72,111.61,117.82,Neutral
Q1_27,2026-09-08,60,114.9,114.78,110.64,118.92,Neutral
Q1_27,2026-09-08,90,114.9,114.81,109.64,119.98,Neutral
Q2_27,2026-09-08,30,54.9,59.75,58.27,61.24,Potential Opportunity
Q2_27,2026-09-08,60,54.9,58.06,56.08,60.03,Potential Opportunity
Q2_27,2026-09-08,90,54.9,57.33,54.86,59.8,Potential Opportunity
YR27,2026-09-08,30,82.4,76.07,73.84,78.29,Wait
YR27,2026-09-08,60,82.4,78.28,75.32,81.25,Wait
YR27,2026-09-08,90,82.4,79.23,75.53,82.94,Wait
YR28,2026-09-08,30,61.0,57.87,56.23,59.52,Wait
YR28,2026-09-08,60,61.0,58.97,56.77,61.16,Wait
YR28,2026-09-08,90,61.0,59.44,56.69,62.18,Neutral
