contract,forecast_date,horizon_days,current_price,point_forecast,lower_80ci,upper_80ci,signal
Q3_26,2026-06-18,11,82.8,80.95,78.72,83.19,Neutral
Q3_26,2026-06-18,11,82.8,81.6,78.62,84.58,Neutral
Q3_26,2026-06-18,11,82.8,81.88,78.15,85.6,Neutral
Q4_26,2026-06-18,30,85.2,85.0,82.7,87.3,Neutral
Q4_26,2026-06-18,60,85.2,85.07,82.01,88.14,Neutral
Q4_26,2026-06-18,90,85.2,85.1,81.27,88.94,Neutral
Q1_27,2026-06-18,30,71.25,70.68,68.76,72.61,Neutral
Q1_27,2026-06-18,60,71.25,70.88,68.32,73.45,Neutral
Q1_27,2026-06-18,90,71.25,70.97,67.76,74.17,Neutral
Q2_27,2026-06-18,30,40.0,44.0,42.92,45.08,Potential Opportunity
Q2_27,2026-06-18,60,40.0,44.8,43.36,46.24,Potential Opportunity
Q2_27,2026-06-18,90,40.0,43.71,41.91,45.51,Potential Opportunity
YR27,2026-06-18,30,59.0,59.45,57.86,61.05,Neutral
YR27,2026-06-18,60,59.0,59.3,57.17,61.42,Neutral
YR27,2026-06-18,90,59.0,59.23,56.57,61.88,Neutral
YR28,2026-06-18,30,56.4,56.41,54.89,57.94,Neutral
YR28,2026-06-18,60,56.4,56.41,54.38,58.44,Neutral
YR28,2026-06-18,90,56.4,56.41,53.87,58.94,Neutral
