contract,forecast_date,horizon_days,current_price,point_forecast,lower_80ci,upper_80ci,signal
Q3_26,2026-06-13,16,86.7,83.52,81.18,85.86,Wait
Q3_26,2026-06-13,16,86.7,84.63,81.51,87.75,Neutral
Q3_26,2026-06-13,16,86.7,85.11,81.21,89.01,Neutral
Q4_26,2026-06-13,30,92.0,87.26,84.78,89.74,Wait
Q4_26,2026-06-13,60,92.0,88.92,85.61,92.23,Wait
Q4_26,2026-06-13,90,92.0,89.63,85.49,93.77,Neutral
Q1_27,2026-06-13,30,76.0,76.38,74.32,78.43,Neutral
Q1_27,2026-06-13,60,76.0,76.24,73.51,78.98,Neutral
Q1_27,2026-06-13,90,76.0,76.19,72.77,79.61,Neutral
Q2_27,2026-06-13,30,42.09,46.3,45.16,47.44,Potential Opportunity
Q2_27,2026-06-13,60,42.09,47.14,45.63,48.66,Potential Opportunity
Q2_27,2026-06-13,90,42.09,46.56,44.67,48.46,Potential Opportunity
YR27,2026-06-13,30,62.5,59.53,57.85,61.22,Wait
YR27,2026-06-13,60,62.5,60.57,58.32,62.82,Wait
YR27,2026-06-13,90,62.5,61.02,58.2,63.83,Neutral
YR28,2026-06-13,30,58.0,56.55,54.98,58.11,Neutral
YR28,2026-06-13,60,58.0,57.06,54.97,59.14,Neutral
YR28,2026-06-13,90,58.0,57.27,54.66,59.88,Neutral
