contract,forecast_date,horizon_days,current_price,point_forecast,lower_80ci,upper_80ci,signal
Q3_26,2026-04-10,30,76.73,69.06,66.99,71.13,Wait
Q3_26,2026-04-10,60,76.73,67.53,64.76,70.29,Wait
Q3_26,2026-04-10,80,76.73,65.22,61.77,68.68,Wait
Q4_26,2026-04-10,30,83.73,75.36,73.1,77.62,Wait
Q4_26,2026-04-10,60,83.73,73.69,70.67,76.7,Wait
Q4_26,2026-04-10,90,83.73,71.17,67.41,74.94,Wait
Q1_27,2026-04-10,30,71.66,64.5,62.56,66.43,Wait
Q1_27,2026-04-10,60,71.66,63.06,60.48,65.64,Wait
Q1_27,2026-04-10,90,71.66,60.91,57.69,64.14,Wait
Q2_27,2026-04-10,30,35.93,32.34,31.37,33.31,Wait
Q2_27,2026-04-10,60,35.93,31.62,30.33,32.91,Wait
Q2_27,2026-04-10,90,35.93,30.54,28.93,32.16,Wait
YR27,2026-04-10,30,56.33,54.86,53.34,56.38,Neutral
YR27,2026-04-10,60,56.33,55.38,53.35,57.4,Neutral
YR27,2026-04-10,90,56.33,55.6,53.06,58.13,Neutral
YR28,2026-04-10,30,55.47,55.76,54.27,57.26,Neutral
YR28,2026-04-10,60,55.47,55.66,53.66,57.66,Neutral
YR28,2026-04-10,90,55.47,55.61,53.12,58.11,Neutral
