contract,forecast_date,horizon_days,current_price,point_forecast,lower_80ci,upper_80ci,signal
Q4_26,2026-07-24,30,112.0,100.8,97.78,103.82,Wait
Q4_26,2026-07-24,60,112.0,102.5,98.47,106.54,Wait
Q4_26,2026-07-24,67,112.0,104.7,99.66,109.74,Wait
Q1_27,2026-07-24,30,87.25,86.82,84.46,89.17,Neutral
Q1_27,2026-07-24,60,87.25,86.97,83.83,90.11,Neutral
Q1_27,2026-07-24,90,87.25,87.03,83.11,90.96,Neutral
Q2_27,2026-07-24,30,51.0,45.9,44.52,47.28,Wait
Q2_27,2026-07-24,60,51.0,46.3,44.46,48.13,Wait
Q2_27,2026-07-24,90,51.0,47.38,45.09,49.68,Wait
YR27,2026-07-24,30,71.0,63.9,61.98,65.82,Wait
YR27,2026-07-24,60,71.0,64.61,62.05,67.17,Wait
YR27,2026-07-24,90,71.0,66.08,62.89,69.28,Wait
YR28,2026-07-24,30,57.55,58.84,57.29,60.4,Neutral
YR28,2026-07-24,60,57.55,58.39,56.32,60.46,Neutral
YR28,2026-07-24,90,57.55,58.2,55.61,60.79,Neutral
