contract,forecast_date,horizon_days,current_price,point_forecast,lower_80ci,upper_80ci,signal
Q4_26,2026-07-14,30,97.25,87.53,84.9,90.15,Wait
Q4_26,2026-07-14,60,97.25,89.23,85.73,92.73,Wait
Q4_26,2026-07-14,77,97.25,91.08,86.71,95.46,Wait
Q1_27,2026-07-14,30,76.65,71.6,69.53,73.67,Wait
Q1_27,2026-07-14,60,76.65,73.37,70.61,76.13,Wait
Q1_27,2026-07-14,90,76.65,74.12,70.68,77.57,Wait
Q2_27,2026-07-14,30,45.21,44.63,43.41,45.85,Neutral
Q2_27,2026-07-14,60,45.21,44.83,43.2,46.46,Neutral
Q2_27,2026-07-14,90,45.21,44.92,42.88,46.95,Neutral
YR27,2026-07-14,30,64.5,61.37,59.63,63.11,Wait
YR27,2026-07-14,60,64.5,62.47,60.14,64.79,Wait
YR27,2026-07-14,90,64.5,62.94,60.03,65.84,Neutral
YR28,2026-07-14,30,57.1,58.64,57.1,60.19,Neutral
YR28,2026-07-14,60,57.1,58.1,56.05,60.16,Neutral
YR28,2026-07-14,90,57.1,57.87,55.3,60.44,Neutral
