contract,forecast_date,horizon_days,current_price,point_forecast,lower_80ci,upper_80ci,signal
Q4_26,2026-08-30,30,121.0,111.44,108.17,114.7,Wait
Q4_26,2026-08-30,30,121.0,114.78,110.43,119.14,Wait
Q4_26,2026-08-30,30,121.0,116.22,110.77,121.66,Wait
Q1_27,2026-08-30,30,100.75,102.48,99.76,105.2,Neutral
Q1_27,2026-08-30,60,100.75,101.87,98.24,105.5,Neutral
Q1_27,2026-08-30,90,100.75,101.61,97.08,106.15,Neutral
Q2_27,2026-08-30,30,49.7,54.67,53.33,56.01,Potential Opportunity
Q2_27,2026-08-30,60,49.7,54.19,52.4,55.98,Potential Opportunity
Q2_27,2026-08-30,90,49.7,53.16,50.92,55.39,Potential Opportunity
YR27,2026-08-30,30,75.7,69.2,67.16,71.24,Wait
YR27,2026-08-30,60,75.7,71.47,68.75,74.2,Wait
YR27,2026-08-30,90,75.7,72.45,69.04,75.86,Wait
YR28,2026-08-30,30,58.6,57.16,55.58,58.74,Neutral
YR28,2026-08-30,60,58.6,57.66,55.55,59.77,Neutral
YR28,2026-08-30,90,58.6,57.88,55.24,60.52,Neutral
