contract,forecast_date,horizon_days,current_price,point_forecast,lower_80ci,upper_80ci,signal
Q4_26,2026-08-07,30,102.5,94.92,92.16,97.69,Wait
Q4_26,2026-08-07,53,102.5,97.58,93.89,101.27,Wait
Q4_26,2026-08-07,53,102.5,98.71,94.1,103.32,Wait
Q1_27,2026-08-07,30,85.5,83.59,81.28,85.9,Neutral
Q1_27,2026-08-07,60,85.5,84.26,81.18,87.34,Neutral
Q1_27,2026-08-07,90,85.5,84.55,80.7,88.39,Neutral
Q2_27,2026-08-07,30,45.0,49.19,47.98,50.41,Potential Opportunity
Q2_27,2026-08-07,60,45.0,47.72,46.1,49.34,Potential Opportunity
Q2_27,2026-08-07,90,45.0,47.1,45.07,49.12,Potential Opportunity
YR27,2026-08-07,30,66.5,63.36,61.56,65.15,Wait
YR27,2026-08-07,60,66.5,64.46,62.06,66.85,Wait
YR27,2026-08-07,90,66.5,64.93,61.94,67.92,Neutral
YR28,2026-08-07,30,54.85,58.06,56.58,59.54,Potential Opportunity
YR28,2026-08-07,60,54.85,56.94,54.96,58.91,Potential Opportunity
YR28,2026-08-07,90,54.85,56.45,53.99,58.92,Neutral
