contract,horizon_days,fold,mae,rmse,mape,directional_accuracy,enet_mae,lasso_features_kept,lasso_features_total,lasso_alpha,train_size,test_size
Q3_26,7,1,1.9484673292078987,2.416611701043894,2.840449679759658,51.78571428571429,1.4731300220784564,16,38,0.018562050997926637,100,57
Q3_26,7,2,7.7566995666950485,8.698909888874683,11.363415586624848,30.357142857142854,1.893269212064411,11,38,0.06832176203922723,157,57
Q3_26,7,3,1.5429339394812174,1.7025739817740355,2.3160536834781427,44.642857142857146,1.4620433968747057,10,38,0.19862401545779554,214,57
Q3_26,7,4,4.790585590398351,5.078912452548544,7.8072138817897425,53.57142857142857,5.628090246344593,0,38,1.061369790809707,271,57
Q3_26,7,5,6.182508443242871,7.447731695341862,8.384642771773672,51.78571428571429,6.2857316009014434,14,38,0.06979824285087464,328,57
Q3_26,30,1,3.0698487904646994,4.065436409156264,4.553367479400337,58.92857142857143,3.8463979467046157,6,38,0.45060342436455186,100,57
Q3_26,30,2,3.41078790608279,4.01796038883518,5.065696746192306,51.78571428571429,3.20324853479569,23,38,0.01341184808146569,157,57
Q3_26,30,3,0.856426193641691,1.0869374503731453,1.2843781940629426,50.0,0.803453933078671,14,38,0.08673670912008331,214,57
Q3_26,30,4,5.765990467849257,5.988680164342463,9.385084147714922,12.5,5.628090246344593,0,38,0.9058177277645073,271,57
Q3_26,30,5,6.5632495571699865,7.928038556835288,8.547068976041071,50.0,6.53808686462126,9,38,0.20338374595888428,328,57
Q4_26,7,1,4.399491718908481,4.663618496819665,6.100460497267335,54.54545454545454,4.147286403493907,21,38,0.00971111268671519,117,67
Q4_26,7,2,5.679237194108951,6.143034122684354,8.32276061961625,37.878787878787875,5.099714974105689,13,38,0.06157819512779356,184,67
Q4_26,7,3,6.7089541122322105,7.728173477735338,8.240344508426533,51.515151515151516,9.055521257204434,1,38,0.771231597525131,251,67
Q4_26,30,1,2.033517795274779,2.320897895306463,2.862456837840525,48.484848484848484,1.9291693243102466,12,38,0.056793440953301,117,67
Q4_26,30,2,1.6183822086329318,1.9207441943744328,2.323871160314042,50.0,1.6700801203883928,16,38,0.05193918875120379,184,67
Q4_26,30,3,7.740369374855915,8.589128160693718,9.548940589562454,43.93939393939394,7.473411004952069,20,38,0.009097323772361355,251,67
Q1_27,7,1,1.3838819695240328,1.9430570262910403,2.251226577500805,49.275362318840585,1.3558415058741873,14,38,0.014857841769738363,120,70
Q1_27,7,2,4.489523181415208,5.1957726544593905,6.3966874772949875,43.47826086956522,4.496392223454314,20,38,0.009064816170704518,190,70
Q1_27,30,1,3.637231514222701,3.905361907630955,5.842004419175984,59.42028985507246,4.037488583615062,18,38,0.00639086914890887,120,70
Q1_27,30,2,7.378295458863577,8.7609169385989,10.428524691267318,43.47826086956522,7.304839305048164,7,38,0.1647055478829821,190,70
Q2_27,7,1,6.219958957113483,8.273998586020973,15.73385374341024,61.97183098591549,5.803367141786564,12,38,0.050857625111792704,126,72
Q2_27,30,1,4.230798389312654,6.265054558823609,10.433871575905549,47.88732394366197,4.445700567500978,17,38,0.009519700294604888,126,72
YR27,7,4,8.473295508164297,10.860195418928354,13.75898280242412,21.666666666666668,7.81855490989382,5,23,0.8108400860765151,588,121
YR27,7,5,8.377927394555542,9.12383725889006,13.97500695134658,5.0,8.589046761321823,14,23,0.03880085791474583,709,121
YR27,7,6,4.825805571951931,5.200604698762891,7.910631989016376,10.0,4.660883303875303,12,23,0.1791124519263893,830,121
