datetime,hour,point_forecast,lower_80ci,upper_80ci,lag_data_quality
2026-08-03 00:00:00,0,152.307,139.932,166.52,100.0
2026-08-03 01:00:00,1,143.744,131.438,158.638,100.0
2026-08-03 02:00:00,2,143.897,131.83,158.54,100.0
2026-08-03 03:00:00,3,143.166,129.962,157.306,100.0
2026-08-03 04:00:00,4,142.419,130.978,154.185,100.0
2026-08-03 05:00:00,5,148.311,135.287,160.649,100.0
2026-08-03 06:00:00,6,141.941,129.255,155.261,100.0
2026-08-03 07:00:00,7,142.536,129.952,157.552,100.0
2026-08-03 08:00:00,8,128.873,113.299,148.102,100.0
2026-08-03 09:00:00,9,88.452,76.926,104.738,100.0
2026-08-03 10:00:00,10,60.369,47.586,76.433,100.0
2026-08-03 11:00:00,11,49.681,38.159,66.539,100.0
2026-08-03 12:00:00,12,39.629,28.379,55.095,100.0
2026-08-03 13:00:00,13,34.392,22.972,48.009,100.0
2026-08-03 14:00:00,14,28.564,16.847,41.065,100.0
2026-08-03 15:00:00,15,16.557,6.028,26.976,100.0
2026-08-03 16:00:00,16,3.082,-5.0,15.709,100.0
2026-08-03 17:00:00,17,0.047,-5.0,15.06,100.0
2026-08-03 18:00:00,18,19.737,6.714,33.665,100.0
2026-08-03 19:00:00,19,65.141,51.533,77.039,100.0
2026-08-03 20:00:00,20,131.862,119.106,141.969,100.0
2026-08-03 21:00:00,21,148.414,135.639,158.768,100.0
2026-08-03 22:00:00,22,161.94,150.902,172.03,100.0
2026-08-03 23:00:00,23,154.009,140.926,169.099,100.0
2026-08-04 00:00:00,0,141.039,128.664,155.251,100.0
2026-08-04 01:00:00,1,127.126,114.82,142.021,100.0
2026-08-04 02:00:00,2,133.076,121.009,147.719,100.0
2026-08-04 03:00:00,3,130.105,116.901,144.246,100.0
2026-08-04 04:00:00,4,126.804,115.363,138.571,100.0
2026-08-04 05:00:00,5,134.262,121.238,146.599,100.0
2026-08-04 06:00:00,6,132.874,120.188,146.194,100.0
2026-08-04 07:00:00,7,134.954,122.37,149.969,100.0
2026-08-04 08:00:00,8,126.159,110.586,145.389,100.0
2026-08-04 09:00:00,9,94.102,82.576,110.388,100.0
2026-08-04 10:00:00,10,69.179,56.396,85.244,100.0
2026-08-04 11:00:00,11,56.198,44.677,73.056,100.0
2026-08-04 12:00:00,12,42.969,31.718,58.434,100.0
2026-08-04 13:00:00,13,35.626,24.206,49.242,100.0
2026-08-04 14:00:00,14,32.095,20.379,44.596,100.0
2026-08-04 15:00:00,15,18.624,8.095,29.043,100.0
2026-08-04 16:00:00,16,8.876,-1.887,21.503,100.0
2026-08-04 17:00:00,17,5.297,-5.0,20.31,100.0
2026-08-04 18:00:00,18,21.066,8.043,34.994,100.0
2026-08-04 19:00:00,19,64.525,50.917,76.423,100.0
2026-08-04 20:00:00,20,133.293,120.537,143.4,100.0
2026-08-04 21:00:00,21,153.017,140.242,163.371,100.0
2026-08-04 22:00:00,22,171.102,160.064,181.192,100.0
2026-08-04 23:00:00,23,161.47,148.387,176.56,100.0
2026-08-05 00:00:00,0,141.211,128.836,155.423,100.0
2026-08-05 01:00:00,1,127.372,115.067,142.267,100.0
2026-08-05 02:00:00,2,131.998,119.93,146.641,100.0
2026-08-05 03:00:00,3,128.748,115.543,142.888,100.0
2026-08-05 04:00:00,4,125.03,113.589,136.797,100.0
2026-08-05 05:00:00,5,131.854,118.83,144.191,100.0
2026-08-05 06:00:00,6,130.447,117.761,143.767,100.0
2026-08-05 07:00:00,7,133.795,121.211,148.81,100.0
2026-08-05 08:00:00,8,124.955,109.381,144.184,100.0
2026-08-05 09:00:00,9,94.166,82.64,110.453,100.0
2026-08-05 10:00:00,10,68.976,56.192,85.04,100.0
2026-08-05 11:00:00,11,58.416,46.895,75.274,100.0
2026-08-05 12:00:00,12,46.846,35.595,62.311,100.0
2026-08-05 13:00:00,13,39.809,28.389,53.426,100.0
2026-08-05 14:00:00,14,33.369,21.653,45.87,100.0
2026-08-05 15:00:00,15,18.082,7.552,28.501,100.0
2026-08-05 16:00:00,16,9.821,-0.942,22.448,100.0
2026-08-05 17:00:00,17,3.461,-5.0,18.474,100.0
2026-08-05 18:00:00,18,13.588,0.564,27.515,100.0
2026-08-05 19:00:00,19,54.545,40.936,66.443,100.0
2026-08-05 20:00:00,20,127.087,114.33,137.194,100.0
2026-08-05 21:00:00,21,150.76,137.984,161.113,100.0
2026-08-05 22:00:00,22,170.075,159.037,180.166,100.0
2026-08-05 23:00:00,23,159.673,146.59,174.763,100.0
2026-08-06 00:00:00,0,141.506,129.131,155.718,100.0
2026-08-06 01:00:00,1,129.024,116.718,143.919,100.0
2026-08-06 02:00:00,2,131.495,119.427,146.137,100.0
2026-08-06 03:00:00,3,127.813,114.609,141.953,100.0
2026-08-06 04:00:00,4,124.288,112.847,136.055,100.0
2026-08-06 05:00:00,5,131.349,118.325,143.687,100.0
2026-08-06 06:00:00,6,129.566,116.879,142.885,100.0
2026-08-06 07:00:00,7,133.173,120.589,148.189,100.0
2026-08-06 08:00:00,8,124.61,109.036,143.839,100.0
2026-08-06 09:00:00,9,95.017,83.491,111.303,100.0
2026-08-06 10:00:00,10,70.862,58.079,86.927,100.0
2026-08-06 11:00:00,11,54.221,42.7,71.079,100.0
2026-08-06 12:00:00,12,48.025,36.774,63.49,100.0
2026-08-06 13:00:00,13,41.781,30.361,55.398,100.0
2026-08-06 14:00:00,14,34.703,22.986,47.203,100.0
2026-08-06 15:00:00,15,21.42,10.89,31.839,100.0
2026-08-06 16:00:00,16,12.489,1.726,25.116,100.0
2026-08-06 17:00:00,17,4.637,-5.0,19.649,100.0
2026-08-06 18:00:00,18,12.319,-0.704,26.247,100.0
2026-08-06 19:00:00,19,51.127,37.519,63.025,100.0
2026-08-06 20:00:00,20,123.896,111.14,134.003,100.0
2026-08-06 21:00:00,21,149.465,136.689,159.818,100.0
2026-08-06 22:00:00,22,171.281,160.243,181.371,100.0
2026-08-06 23:00:00,23,160.972,147.889,176.062,100.0
2026-08-07 00:00:00,0,141.384,129.009,155.596,100.0
2026-08-07 01:00:00,1,129.526,117.22,144.421,100.0
2026-08-07 02:00:00,2,131.075,119.007,145.717,100.0
2026-08-07 03:00:00,3,127.063,113.858,141.203,100.0
2026-08-07 04:00:00,4,123.765,112.324,135.532,100.0
2026-08-07 05:00:00,5,130.767,117.743,143.105,100.0
2026-08-07 06:00:00,6,129.072,116.385,142.392,100.0
2026-08-07 07:00:00,7,132.824,120.239,147.839,100.0
2026-08-07 08:00:00,8,123.979,108.406,143.209,100.0
2026-08-07 09:00:00,9,93.725,82.199,110.011,100.0
