datetime,hour,point_forecast,lower_80ci,upper_80ci,lag_data_quality
2026-06-23 00:00:00,0,126.581,114.206,140.794,100.0
2026-06-23 01:00:00,1,123.632,111.326,138.527,100.0
2026-06-23 02:00:00,2,120.992,108.924,135.635,100.0
2026-06-23 03:00:00,3,120.134,106.93,134.275,100.0
2026-06-23 04:00:00,4,119.204,107.763,130.971,100.0
2026-06-23 05:00:00,5,116.252,103.228,128.59,100.0
2026-06-23 06:00:00,6,119.122,106.435,132.441,100.0
2026-06-23 07:00:00,7,137.415,124.831,152.431,100.0
2026-06-23 08:00:00,8,134.533,118.96,153.763,100.0
2026-06-23 09:00:00,9,119.986,108.46,136.272,100.0
2026-06-23 10:00:00,10,104.211,91.428,120.275,100.0
2026-06-23 11:00:00,11,88.964,77.442,105.822,100.0
2026-06-23 12:00:00,12,82.68,71.43,98.146,100.0
2026-06-23 13:00:00,13,69.267,57.847,82.883,100.0
2026-06-23 14:00:00,14,61.077,49.361,73.578,100.0
2026-06-23 15:00:00,15,60.394,49.864,70.813,100.0
2026-06-23 16:00:00,16,58.132,47.368,70.759,100.0
2026-06-23 17:00:00,17,79.038,67.59,94.051,100.0
2026-06-23 18:00:00,18,86.234,73.211,100.162,100.0
2026-06-23 19:00:00,19,127.777,114.169,139.675,100.0
2026-06-23 20:00:00,20,149.675,136.918,159.781,100.0
2026-06-23 21:00:00,21,156.716,143.941,167.07,100.0
2026-06-23 22:00:00,22,141.632,130.594,151.723,100.0
2026-06-23 23:00:00,23,130.822,117.738,145.912,100.0
2026-06-24 00:00:00,0,116.12,103.745,130.333,100.0
2026-06-24 01:00:00,1,113.28,100.974,128.175,100.0
2026-06-24 02:00:00,2,111.081,99.014,125.724,100.0
2026-06-24 03:00:00,3,110.763,97.559,124.903,100.0
2026-06-24 04:00:00,4,107.324,95.883,119.091,100.0
2026-06-24 05:00:00,5,108.572,95.548,120.91,100.0
2026-06-24 06:00:00,6,111.467,98.781,124.787,100.0
2026-06-24 07:00:00,7,133.067,120.483,148.083,100.0
2026-06-24 08:00:00,8,131.024,115.451,150.254,100.0
2026-06-24 09:00:00,9,121.138,109.611,137.424,100.0
2026-06-24 10:00:00,10,106.527,93.744,122.592,100.0
2026-06-24 11:00:00,11,91.522,80.0,108.38,100.0
2026-06-24 12:00:00,12,86.845,75.594,102.31,100.0
2026-06-24 13:00:00,13,73.747,62.327,87.364,100.0
2026-06-24 14:00:00,14,65.916,54.199,78.417,100.0
2026-06-24 15:00:00,15,63.407,52.878,73.826,100.0
2026-06-24 16:00:00,16,61.826,51.062,74.453,100.0
2026-06-24 17:00:00,17,81.29,69.842,96.303,100.0
2026-06-24 18:00:00,18,89.755,76.732,103.683,100.0
2026-06-24 19:00:00,19,135.341,121.733,147.239,100.0
2026-06-24 20:00:00,20,159.988,147.231,170.094,100.0
2026-06-24 21:00:00,21,156.88,144.104,167.234,100.0
2026-06-24 22:00:00,22,141.971,130.933,152.061,100.0
2026-06-24 23:00:00,23,131.969,118.886,147.059,100.0
2026-06-25 00:00:00,0,115.127,102.753,129.34,100.0
2026-06-25 01:00:00,1,112.052,99.747,126.947,100.0
2026-06-25 02:00:00,2,109.822,97.755,124.465,100.0
2026-06-25 03:00:00,3,108.82,95.616,122.961,100.0
2026-06-25 04:00:00,4,105.099,93.658,116.865,100.0
2026-06-25 05:00:00,5,105.47,92.446,117.808,100.0
2026-06-25 06:00:00,6,108.214,95.527,121.533,100.0
2026-06-25 07:00:00,7,133.568,120.983,148.583,100.0
2026-06-25 08:00:00,8,131.763,116.189,150.992,100.0
2026-06-25 09:00:00,9,119.618,108.092,135.904,100.0
2026-06-25 10:00:00,10,106.497,93.714,122.561,100.0
2026-06-25 11:00:00,11,93.479,81.957,110.336,100.0
2026-06-25 12:00:00,12,86.019,74.768,101.484,100.0
2026-06-25 13:00:00,13,72.508,61.088,86.125,100.0
2026-06-25 14:00:00,14,63.886,52.17,76.387,100.0
2026-06-25 15:00:00,15,62.065,51.536,72.484,100.0
2026-06-25 16:00:00,16,62.727,51.963,75.354,100.0
2026-06-25 17:00:00,17,81.698,70.25,96.711,100.0
2026-06-25 18:00:00,18,93.403,80.38,107.33,100.0
2026-06-25 19:00:00,19,141.363,127.755,153.261,100.0
2026-06-25 20:00:00,20,163.583,150.826,173.689,100.0
2026-06-25 21:00:00,21,155.756,142.981,166.11,100.0
2026-06-25 22:00:00,22,139.838,128.8,149.928,100.0
2026-06-25 23:00:00,23,129.715,116.632,144.805,100.0
2026-06-26 00:00:00,0,114.879,102.504,129.092,100.0
2026-06-26 01:00:00,1,111.65,99.345,126.545,100.0
2026-06-26 02:00:00,2,109.737,97.669,124.379,100.0
2026-06-26 03:00:00,3,108.636,95.432,122.777,100.0
2026-06-26 04:00:00,4,105.505,94.064,117.272,100.0
2026-06-26 05:00:00,5,105.314,92.29,117.651,100.0
2026-06-26 06:00:00,6,108.104,95.417,121.423,100.0
2026-06-26 07:00:00,7,132.408,119.824,147.424,100.0
2026-06-26 08:00:00,8,130.919,115.346,150.149,100.0
2026-06-26 09:00:00,9,119.57,108.044,135.856,100.0
2026-06-26 10:00:00,10,105.673,92.89,121.737,100.0
2026-06-26 11:00:00,11,92.358,80.837,109.216,100.0
2026-06-26 12:00:00,12,86.274,75.024,101.74,100.0
2026-06-26 13:00:00,13,72.979,61.559,86.596,100.0
2026-06-26 14:00:00,14,63.877,52.16,76.377,100.0
2026-06-26 15:00:00,15,61.096,50.567,71.515,100.0
2026-06-26 16:00:00,16,60.883,50.119,73.51,100.0
2026-06-26 17:00:00,17,80.91,69.462,95.923,100.0
2026-06-26 18:00:00,18,94.291,81.268,108.219,100.0
2026-06-26 19:00:00,19,145.257,131.649,157.155,100.0
2026-06-26 20:00:00,20,166.874,154.117,176.981,100.0
2026-06-26 21:00:00,21,154.582,141.806,164.936,100.0
2026-06-26 22:00:00,22,138.535,127.497,148.626,100.0
2026-06-26 23:00:00,23,128.797,115.713,143.887,100.0
2026-06-27 00:00:00,0,114.519,102.144,128.732,100.0
2026-06-27 01:00:00,1,111.512,99.207,126.407,100.0
2026-06-27 02:00:00,2,109.464,97.396,124.106,100.0
2026-06-27 03:00:00,3,108.035,94.831,122.176,100.0
2026-06-27 04:00:00,4,104.463,93.022,116.23,100.0
2026-06-27 05:00:00,5,104.768,91.744,117.106,100.0
2026-06-27 06:00:00,6,108.502,95.815,121.821,100.0
2026-06-27 07:00:00,7,131.644,119.059,146.659,100.0
2026-06-27 08:00:00,8,128.351,112.778,147.581,100.0
2026-06-27 09:00:00,9,116.68,105.154,132.966,100.0
2026-06-27 10:00:00,10,103.459,90.675,119.523,100.0
2026-06-27 11:00:00,11,89.572,78.05,106.43,100.0
2026-06-27 12:00:00,12,83.613,72.362,99.078,100.0
2026-06-27 13:00:00,13,71.015,59.595,84.632,100.0
2026-06-27 14:00:00,14,62.768,51.052,75.269,100.0
2026-06-27 15:00:00,15,61.25,50.721,71.669,100.0
2026-06-27 16:00:00,16,59.671,48.907,72.298,100.0
2026-06-27 17:00:00,17,77.631,66.183,92.644,100.0
2026-06-27 18:00:00,18,89.619,76.595,103.546,100.0
2026-06-27 19:00:00,19,142.899,129.291,154.797,100.0
2026-06-27 20:00:00,20,166.631,153.874,176.738,100.0
2026-06-27 21:00:00,21,154.567,141.791,164.921,100.0
2026-06-27 22:00:00,22,138.348,127.31,148.438,100.0
2026-06-27 23:00:00,23,128.221,115.138,143.311,100.0
2026-06-28 00:00:00,0,114.818,102.443,129.031,100.0
2026-06-28 01:00:00,1,112.413,100.107,127.308,100.0
2026-06-28 02:00:00,2,109.87,97.803,124.513,100.0
2026-06-28 03:00:00,3,108.104,94.9,122.245,100.0
2026-06-28 04:00:00,4,104.332,92.891,116.099,100.0
2026-06-28 05:00:00,5,104.982,91.958,117.32,100.0
2026-06-28 06:00:00,6,109.224,96.538,122.544,100.0
2026-06-28 07:00:00,7,132.214,119.63,147.229,100.0
2026-06-28 08:00:00,8,130.208,114.635,149.438,100.0
2026-06-28 09:00:00,9,117.842,106.316,134.128,100.0
2026-06-28 10:00:00,10,105.767,92.983,121.831,100.0
2026-06-28 11:00:00,11,91.122,79.601,107.98,100.0
