hour,fold,mae,mae_lasso_only,rmse,mape,directional_accuracy,n_test,n_test_excluded_storm
9,4,8.773,12.906,13.735,13.508,80.52,155,0
9,5,6.702,9.884,9.334,30.777,84.42,155,0
9,6,5.225,9.0,7.632,15.101,85.71,155,0
9,7,5.61,9.255,7.46,37.683,85.06,155,0
9,8,6.422,10.69,9.779,21.585,87.01,155,0
9,9,6.026,10.865,8.913,51.514,88.31,155,0
9,10,11.626,15.564,15.197,43.073,86.36,155,0
9,11,10.26,11.123,12.947,85.214,84.56,137,18
10,0,2.38,5.31,3.96,7.867,86.36,155,0
10,1,3.314,6.133,6.167,2.274,87.66,155,0
10,2,15.138,18.812,23.723,7.334,85.06,155,0
10,3,26.49,55.914,33.845,24.842,72.73,155,0
10,4,9.251,13.146,13.807,14.713,82.47,155,0
10,5,7.198,11.201,10.24,25.304,83.77,155,0
10,6,5.133,8.749,8.028,9.756,86.36,155,0
10,7,4.866,9.931,6.427,34.901,80.52,155,0
10,8,7.819,13.02,10.789,40.908,88.31,155,0
10,9,5.934,12.556,8.264,42.478,85.06,155,0
10,10,11.412,15.658,14.884,100.823,82.47,155,0
10,11,10.175,12.155,12.237,122.922,83.82,137,18
11,0,2.545,5.655,4.261,13.239,87.01,155,0
11,1,4.447,8.258,7.844,3.154,87.01,155,0
11,2,16.281,19.986,26.232,23.053,84.42,155,0
11,3,27.865,54.047,34.227,66.334,78.57,155,0
11,4,8.494,11.697,12.464,12.851,86.36,155,0
11,5,7.296,11.065,11.436,25.088,84.42,155,0
11,6,4.651,8.453,7.113,12.243,88.31,155,0
11,7,4.517,9.613,6.121,43.046,80.52,155,0
11,8,6.99,12.412,10.085,46.141,89.61,155,0
11,9,6.368,12.223,9.856,53.928,88.96,155,0
11,10,10.235,13.826,12.876,142.018,78.57,155,0
11,11,9.604,11.16,11.872,107.518,82.35,137,18
12,0,3.226,6.082,4.667,12.767,87.66,155,0
12,1,5.1,7.901,9.081,3.614,87.01,155,0
12,2,16.04,20.442,27.709,52.439,86.36,155,0
12,3,23.691,49.265,28.786,31.977,81.82,155,0
12,4,7.96,10.458,11.331,12.793,85.06,155,0
12,5,7.338,10.506,11.684,25.567,81.82,155,0
12,6,5.284,8.86,7.899,20.972,87.66,155,0
12,7,4.523,9.51,5.917,44.801,77.92,155,0
12,8,6.131,11.256,9.558,43.282,87.66,155,0
12,9,6.327,11.453,9.429,50.053,85.06,155,0
12,10,8.876,12.382,11.511,134.217,86.36,155,0
12,11,8.849,10.456,11.239,85.305,82.35,137,18
13,0,3.485,6.854,5.768,16.125,86.36,155,0
