# Source: yfinance KRBN (scaled proxy) | Downloaded: 2026-05-06T08:34:38.533298
date,eua_co2
2020-07-31,33.034127426147464
2020-08-03,33.1735999584198
2020-08-04,33.56120867729187
2020-08-05,33.78176770210266
2020-08-06,33.339020347595216
2020-08-07,33.08440055847168
2020-08-10,33.238471841812135
2020-08-11,32.92222084999084
2020-08-12,32.67895464897156
2020-08-13,32.63841028213501
2020-08-14,32.63030633926392
2020-08-17,33.100619649887086
2020-08-18,33.39902672767639
2020-08-19,33.16549153327942
2020-08-20,32.727609682083134
2020-08-21,32.54921536445618
2020-08-24,34.03314681053162
2020-08-25,35.16515512466431
2020-08-26,34.96567397117615
2020-08-27,34.74673080444336
2020-08-28,35.73926434516907
2020-08-31,35.461935138702394
2020-09-01,34.46292023658753
2020-09-02,34.835927963256836
2020-09-03,35.17650871276856
2020-09-04,34.23749122619629
2020-09-08,33.530393075942996
2020-09-09,33.60823664665222
2020-09-10,34.51968369483948
2020-09-11,34.77916674613953
2020-09-14,36.89559345245362
2020-09-15,35.95496234893799
2020-09-16,36.48528876304626
2020-09-17,35.144068288803105
2020-09-18,35.03054361343384
2020-09-21,33.38280539512635
2020-09-22,34.58455333709717
2020-09-23,33.46552119255066
2020-09-24,33.40875773429871
2020-09-25,33.08440055847168
2020-09-28,34.30398120880127
2020-09-29,33.733114910125735
2020-09-30,33.71690030097962
2020-10-01,33.53688340187073
2020-10-02,33.69256830215454
2020-10-05,33.870967102050784
2020-10-06,33.65202841758728
2020-10-07,33.609859228134155
2020-10-08,33.38280539512635
2020-10-09,33.16549153327942
2020-10-12,33.100619649887086
2020-10-13,32.54921536445618
2020-10-14,32.86546411514282
2020-10-15,32.2897255897522
2020-10-16,32.192422246932985
2020-10-19,32.46812438964844
2020-10-20,31.754540395736697
2020-10-21,31.446395587921145
2020-10-22,31.478829288482668
2020-10-23,32.86546411514282
2020-10-26,31.51937589645386
2020-10-27,31.702640199661257
2020-10-28,30.749030685424806
2020-10-29,31.02473282814026
2020-10-30,31.34909224510193
2020-11-02,31.03932933807373
2020-11-03,32.11132678985596
2020-11-04,32.67895464897156
2020-11-05,33.11683650016785
2020-11-06,33.100619649887086
2020-11-09,33.77689995765686
2020-11-10,33.815826225280766
2020-11-11,33.55634093284607
2020-11-12,33.441198158264164
2020-11-13,33.57093968391418
2020-11-16,34.05747656822205
2020-11-17,34.15153698921204
2020-11-18,34.38182702064514
2020-11-19,33.5871542930603
2020-11-20,33.822316551208495
2020-11-23,34.64131455421448
2020-11-24,35.161905479431155
2020-11-25,35.12784695625305
2020-11-27,35.81224241256714
2020-11-30,36.344189167022705
2020-12-01,36.579346942901616
2020-12-02,37.0642590045929
2020-12-03,36.879376602172854
2020-12-04,37.787574005126956
2020-12-07,37.07399897575379
2020-12-08,37.33347978591919
2020-12-09,37.05777316093445
2020-12-10,38.52548551559448
2020-12-11,38.1962628364563
2020-12-14,38.598470306396486
2020-12-15,39.723986053466795
2020-12-16,39.46287593841553
2020-12-17,39.63155269622803
2020-12-18,38.99581003189087
2020-12-21,38.68766746520996
2020-12-22,38.436288356781006
2020-12-23,39.47423400878906
2020-12-24,39.874814414978026
2020-12-28,41.03114128112793
2020-12-29,40.54460439682007
2020-12-30,40.10672254562378
2020-12-31,39.944549560546875
2021-01-04,41.19332323074341
2021-01-05,40.82517652511597
2021-01-06,41.420372581481935
2021-01-07,42.485888671875
2021-01-08,42.42587556838989
