# Source: NewsAPI.org + VADER sentiment | Updated: 2026-03-31T14:12:42.787080
date,news_sentiment,news_volume,news_max_pos,news_max_neg,news_bullish_pct,news_bearish_pct
2026-03-02,0.09344615384615383,13,0.8388,-0.7003,0.46153846153846156,0.38461538461538464
2026-03-09,0.17700000000000002,44,0.9285,-0.7964,0.5681818181818182,0.22727272727272727
2026-03-16,0.11463478260869565,46,0.9334,-0.9254,0.5652173913043478,0.34782608695652173
2026-03-23,-0.1326142857142857,56,0.8213,-0.9153,0.39285714285714285,0.5357142857142857
2026-03-30,0.014695918367346938,49,0.9287,-0.9022,0.46938775510204084,0.40816326530612246
