# Source: REN Data Hub Production Breakdown PT.xlsx | Downloaded: 2026-05-12T08:46:33.552467
date,wind_pt,solar_pt,hydro_gen_pt,biomass_pt,gas_ccgt_pt,gas_cogen_pt,coal_gen_pt,imports_pt,exports_pt,pumping_pt,demand_pt
2015-01-05,251.298125,75.44229166666668,1823.8122916666666,310.3539583333333,261.78166666666664,515.2766666666666,1723.2691666666665,848.4391666666667,76.284375,129.22208333333333,5635.247708333333
2015-01-12,598.354613095238,65.63839285714286,1734.9025297619048,318.7816964285714,732.6136904761905,555.4035714285715,1501.305357142857,1155.939732142857,61.3797619047619,142.5516369047619,6491.638392857143
2015-01-19,1795.90625,46.735863095238095,1352.8470238095238,299.84375,394.38750000000005,571.909375,1588.0732142857141,756.5867559523809,161.76145833333334,185.51592261904761,6490.78988095238
2015-01-26,1820.0002976190476,59.646279761904765,1301.3702380952382,291.5102678571428,281.25357142857143,588.3590773809524,1683.4404761904761,750.421875,177.07619047619048,178.1980654761905,6451.990476190475
2015-02-02,2677.9537202380952,53.78333333333334,1492.2285714285713,275.5059523809524,187.36309523809524,565.5736607142857,1258.2815476190476,457.3989583333333,451.4034226190476,218.46919642857142,6324.884821428571
2015-02-09,2262.5428571428574,83.69627976190476,2104.481994047619,287.45669642857143,242.31130952380954,619.7491071428572,1565.1035714285715,202.5732142857143,623.8102678571429,207.6516369047619,6568.864732142856
2015-02-16,1770.3433035714286,47.31919642857143,1873.1154761904763,298.22232142857143,482.25476190476195,610.0404761904762,1599.8874999999998,342.4251488095238,505.20580357142853,181.39479166666666,6369.582738095238
2015-02-23,2305.1081845238095,78.76919642857143,2133.775,308.4998511904762,115.2404761904762,600.2751488095239,1071.8363095238096,228.99374999999998,576.7602678571429,255.46919642857142,6039.645535714286
2015-03-02,2136.070386904762,69.81666666666668,2129.5504464285714,308.71696428571425,24.907142857142855,602.1120535714285,1043.397023809524,397.60669642857147,426.6879464285714,220.2938988095238,6096.871726190476
2015-03-09,1267.6075892857143,100.35386904761906,2331.5272321428574,312.5571428571428,81.36488095238094,560.760119047619,1358.595238095238,248.8715773809524,470.9059523809524,171.69077380952382,5653.043303571429
2015-03-16,951.4849702380952,106.60133928571429,1962.2267857142856,303.26949404761905,15.763095238095238,547.2055059523809,1701.140476190476,365.62321428571425,308.802380952381,113.85386904761906,5566.388988095238
2015-03-23,1887.4324404761905,56.82321428571428,1465.5330357142857,263.1967261904762,101.37083333333332,525.9202380952381,1677.786904761905,136.7733630952381,415.2330357142857,125.06026785714286,5603.450595238095
2015-03-30,2229.891167664671,101.29685628742516,983.2125748502993,310.73428143712573,26.37125748502994,566.5116766467065,1320.4041916167664,563.5639221556886,271.4809880239521,271.98368263473054,5588.286676646707
2015-04-06,1225.0221726190478,97.75997023809524,1403.0982142857142,301.25669642857144,0.0,503.37410714285716,1072.7529761904761,584.5258928571429,194.08690476190475,81.03928571428571,4936.866666666667
2015-04-13,1282.913988095238,82.284375,1237.4885416666668,273.95669642857143,532.7696428571429,531.0883928571429,1376.7464285714286,408.8822916666667,428.96651785714283,159.1848214285714,5168.4230654761905
2015-04-20,882.054017857143,93.17916666666667,1152.7886904761904,255.92782738095238,564.5970238095239,505.95982142857144,1446.3059523809522,611.5032738095239,156.40386904761903,154.2892857142857,5227.96011904762
2015-04-27,1038.0645833333333,87.55669642857143,1085.1339285714287,276.4279761904762,408.6529761904762,506.27127976190474,1452.3511904761904,655.2011904761905,136.03452380952382,108.73407738095239,5285.646279761904
2015-05-04,1443.8080357142858,90.03616071428571,1008.4793154761904,302.8619047619048,347.2922619047619,489.161755952381,1439.9696428571428,424.22544642857144,242.00565476190474,157.31324404761904,5174.785416666667
2015-05-11,779.3223214285714,114.91190476190476,1659.9504464285715,308.71011904761906,370.88988095238096,518.338988095238,1386.5113095238096,398.07901785714284,108.65803571428572,142.43214285714285,5314.968303571429
2015-05-18,1608.7684523809523,118.44925595238094,1181.8724702380953,313.24092261904764,168.17321428571427,519.6142857142856,1374.4898809523809,396.22529761904764,195.84449404761904,141.528125,5369.494494047619
2015-05-25,1880.5272321428572,123.04345238095237,992.3233630952382,310.29107142857146,73.48869047619048,512.8855654761904,1444.7482142857143,352.5488095238095,212.2549107142857,201.1436011904762,5302.560416666667
2015-06-01,1083.3492559523809,124.96235119047618,904.5824404761905,319.1636904761905,741.2833333333334,528.6379464285715,1748.3017857142859,320.0105654761905,257.25401785714286,102.21116071428571,5442.388244047619
