# Source: REN Data Hub (Consumo) | Downloaded: 2026-05-13T08:52:18.656252
date,demand_pt
2015-01-05,5635.247708333333
2015-01-12,6491.638392857143
2015-01-19,6490.78988095238
2015-01-26,6451.990476190475
2015-02-02,6324.884821428571
2015-02-09,6568.864732142856
2015-02-16,6369.582738095238
2015-02-23,6039.645535714286
2015-03-02,6096.871726190476
2015-03-09,5653.043303571429
2015-03-16,5566.388988095238
2015-03-23,5603.450595238095
2015-03-30,5588.286676646707
2015-04-06,4936.866666666667
2015-04-13,5168.4230654761905
2015-04-20,5227.96011904762
2015-04-27,5285.646279761904
2015-05-04,5174.785416666667
2015-05-11,5314.968303571429
2015-05-18,5369.494494047619
2015-05-25,5302.560416666667
2015-06-01,5442.388244047619
2015-06-08,5539.051190476191
2015-06-15,5240.191666666667
2015-06-22,5611.351785714285
2015-06-29,5582.060416666667
2015-07-06,5634.620089285714
2015-07-13,5717.050595238095
2015-07-20,5804.400595238096
2015-07-27,5737.887797619048
2015-08-03,5664.465178571429
2015-08-10,5420.729166666667
2015-08-17,5142.721279761905
2015-08-24,5202.0715773809525
2015-08-31,5274.4596726190475
2015-09-07,5314.484970238095
2015-09-14,5410.572321428572
2015-09-21,5356.2199404761905
2015-09-28,5413.591666666667
2015-10-05,5423.543005952381
2015-10-12,5341.659226190476
2015-10-19,5309.293898809524
2015-10-26,5285.039349112426
2015-11-02,5408.1184523809525
2015-11-09,5421.035565476191
2015-11-16,5369.191220238095
2015-11-23,5569.211011904762
2015-11-30,5831.905357142857
2015-12-07,5840.273511904762
2015-12-14,5802.234226190476
2015-12-21,5748.422767857143
2015-12-28,5242.042559523809
2016-01-04,5217.093601190476
2016-01-11,6096.765327380952
2016-01-18,6129.3625
2016-01-25,6038.409375
2016-02-01,5952.797767857143
2016-02-08,5894.146726190476
2016-02-15,5935.765178571429
2016-02-22,6158.170833333333
2016-02-29,6182.643005952381
2016-03-07,6054.4674107142855
2016-03-14,5943.983928571429
2016-03-21,5897.1261904761905
2016-03-28,5454.381437125749
2016-04-04,5752.582886904762
2016-04-11,5641.951488095238
2016-04-18,5725.934970238095
2016-04-25,5295.397470238096
2016-05-02,5208.030803571429
2016-05-09,5287.500595238095
2016-05-16,5323.427678571428
2016-05-23,5226.1575892857145
2016-05-30,5010.349107142857
2016-06-06,5243.2019345238095
2016-06-13,5198.530654761905
2016-06-20,5334.823809523809
2016-06-27,5468.101041666667
2016-07-04,5577.486011904762
2016-07-11,5702.645535714286
2016-07-18,5793.5247023809525
2016-07-25,5801.4438988095235
2016-08-01,5752.756696428572
2016-08-08,5638.371130952381
2016-08-15,5457.284672619047
2016-08-22,5125.475892857143
2016-08-29,5334.031547619048
2016-09-05,5499.083035714286
2016-09-12,5672.241517857143
2016-09-19,5428.025446428572
2016-09-26,5423.9647321428565
2016-10-03,5439.333928571428
2016-10-10,5226.313392857143
2016-10-17,5314.074553571429
2016-10-24,5394.833630952381
2016-10-31,5309.379437869822
2016-11-07,5173.5453869047615
2016-11-14,5603.686607142857
2016-11-21,5663.533482142857
2016-11-28,6037.692113095238
2016-12-05,5837.979166666667
2016-12-12,5646.796428571429
2016-12-19,6151.9875
2016-12-26,5806.296577380952
2017-01-02,5706.781101190476
2017-01-09,6179.874404761905
2017-01-16,6272.0168154761905
2017-01-23,6592.381101190475
2017-01-30,6530.40863095238
2017-02-06,6204.630505952381
2017-02-13,6293.535416666667
2017-02-20,6004.433928571429
2017-02-27,5702.510416666667
2017-03-06,5764.433630952381
2017-03-13,5527.238988095238
2017-03-20,5472.431398809524
2017-03-27,5894.922305389222
2017-04-03,5524.907142857143
2017-04-10,5353.603571428572
2017-04-17,5000.664434523809
2017-04-24,5265.384523809524
2017-05-01,4972.984821428571
2017-05-08,5266.145684523809
2017-05-15,5299.040178571428
2017-05-22,5385.352083333333
2017-05-29,5528.984226190476
2017-06-05,5423.322470238096
2017-06-12,5570.169791666667
2017-06-19,5691.164583333333
2017-06-26,5832.6940476190475
2017-07-03,5537.235267857143
2017-07-10,5645.945089285715
2017-07-17,5877.487946428571
2017-07-24,5648.749702380952
2017-07-31,5752.456845238095
2017-08-07,5590.545982142857
2017-08-14,5359.673958333333
2017-08-21,5283.426934523809
2017-08-28,5397.3190476190475
2017-09-04,5354.036755952381
2017-09-11,5607.622321428572
2017-09-18,5557.603869047619
2017-09-25,5550.403869047619
2017-10-02,5612.048809523809
2017-10-09,5417.181845238096
2017-10-16,5531.921577380952
2017-10-23,5358.103125
2017-10-30,5408.969526627219
2017-11-06,5230.859375
2017-11-13,5568.503869047619
2017-11-20,5749.0561011904765
2017-11-27,5791.402083333333
2017-12-04,6025.609077380952
2017-12-11,6296.794642857143
2017-12-18,6433.942113095238
2017-12-25,5979.359523809524
2018-01-01,5429.413690476191
