"Date,""Price"",""Open"",""High"",""Low"",""Vol."",""Change %"""
"12/04/2025,""89.38"",""89.38"",""89.38"",""89.38"","""",""-3.02%"""
"12/03/2025,""92.16"",""92.16"",""92.16"",""92.16"","""",""-0.14%"""
"12/02/2025,""92.29"",""92.29"",""92.29"",""92.29"","""",""-5.95%"""
"12/01/2025,""98.13"",""98.13"",""98.13"",""98.13"","""",""-3.71%"""
"11/28/2025,""101.91"",""101.91"",""101.91"",""101.91"","""",""-0.02%"""
"11/26/2025,""101.93"",""101.93"",""101.93"",""101.93"","""",""-0.86%"""
"11/25/2025,""102.81"",""102.81"",""102.81"",""102.81"","""",""-2.10%"""
"11/24/2025,""105.02"",""105.02"",""105.02"",""105.02"","""",""4.60%"""
"11/21/2025,""100.40"",""100.40"",""100.40"",""100.40"","""",""-0.21%"""
"11/20/2025,""100.61"",""100.61"",""100.61"",""100.61"","""",""-0.11%"""
"11/19/2025,""100.72"",""100.72"",""100.72"",""100.72"","""",""-0.82%"""
"11/18/2025,""101.55"",""101.55"",""101.55"",""101.55"","""",""1.14%"""
"11/17/2025,""100.41"",""100.41"",""100.41"",""100.41"","""",""3.31%"""
"11/14/2025,""97.19"",""97.19"",""97.19"",""97.19"","""",""-0.79%"""
"11/13/2025,""97.96"",""97.96"",""97.96"",""97.96"","""",""2.48%"""
"11/12/2025,""95.59"",""95.59"",""95.59"",""95.59"","""",""1.10%"""
"11/11/2025,""94.55"",""94.55"",""94.55"",""94.55"","""",""-3.38%"""
"11/10/2025,""97.86"",""97.86"",""97.86"",""97.86"","""",""-5.13%"""
"11/07/2025,""103.15"",""103.15"",""103.15"",""103.15"","""",""-0.27%"""
"11/06/2025,""103.43"",""103.43"",""103.43"",""103.43"","""",""-3.67%"""
"11/05/2025,""107.37"",""107.37"",""107.37"",""107.37"","""",""-6.12%"""
"11/04/2025,""114.37"",""114.37"",""114.37"",""114.37"","""",""4.21%"""
"11/03/2025,""109.75"",""109.75"",""109.75"",""109.75"","""",""10.15%"""
"10/31/2025,""99.64"",""99.64"",""99.64"",""99.64"","""",""18.06%"""
"10/30/2025,""84.40"",""84.40"",""84.40"",""84.40"","""",""-5.97%"""
"10/29/2025,""89.76"",""89.76"",""89.76"",""89.76"","""",""-0.89%"""
"10/28/2025,""90.57"",""90.57"",""90.57"",""90.57"","""",""6.12%"""
"10/27/2025,""85.35"",""85.35"",""85.35"",""85.35"","""",""-1.00%"""
"10/24/2025,""86.21"",""86.21"",""86.21"",""86.21"","""",""0.20%"""
"10/23/2025,""86.04"",""86.04"",""86.04"",""86.04"","""",""-0.35%"""
"10/22/2025,""86.34"",""86.34"",""86.34"",""86.34"","""",""-1.08%"""
"10/21/2025,""87.28"",""87.28"",""87.28"",""87.28"","""",""-2.00%"""
"10/20/2025,""89.06"",""89.06"",""89.06"",""89.06"","""",""-0.06%"""
"10/17/2025,""89.11"",""89.11"",""89.11"",""89.11"","""",""-0.49%"""
