# Source: yfinance TTF=F | Downloaded: 2026-05-10T08:13:37.029995
date,ttf_gas
2018-01-02,19.31999969482422
2018-01-03,19.325000762939453
2018-01-04,19.200000762939453
2018-01-05,18.915000915527344
2018-01-08,19.049999237060547
2018-01-09,19.434999465942383
2018-01-10,19.325000762939453
2018-01-11,19.31999969482422
2018-01-12,19.80500030517578
2018-01-16,18.899999618530273
2018-01-17,18.440000534057617
2018-01-18,18.350000381469727
2018-01-19,18.190000534057617
2018-01-22,18.545000076293945
2018-01-23,18.200000762939453
2018-01-24,17.790000915527344
2018-01-25,17.780000686645508
2018-01-26,17.780000686645508
2018-01-29,17.395000457763672
2018-01-30,17.40999984741211
2018-01-31,17.8799991607666
2018-02-01,18.149999618530273
2018-02-02,18.15999984741211
2018-02-05,17.59000015258789
2018-02-06,17.8799991607666
2018-02-07,18.155000686645508
2018-02-08,17.739999771118164
2018-02-09,17.899999618530273
2018-02-12,17.950000762939453
2018-02-13,18.30500030517578
2018-02-14,18.075000762939453
2018-02-15,17.790000915527344
2018-02-16,18.165000915527344
2018-02-20,19.770000457763672
2018-02-21,19.780000686645508
2018-02-22,19.940000534057617
2018-02-23,20.40999984741211
2018-02-26,18.690000534057617
2018-02-27,19.19499969482422
2018-02-28,17.350000381469727
2018-03-01,17.559999465942383
2018-03-02,17.80500030517578
2018-03-05,17.514999389648438
2018-03-06,17.700000762939453
2018-03-07,17.829999923706055
2018-03-08,18.315000534057617
2018-03-09,18.940000534057617
2018-03-12,19.709999084472656
2018-03-13,19.46500015258789
2018-03-14,18.614999771118164
2018-03-15,18.799999237060547
2018-03-16,18.655000686645508
2018-03-19,18.700000762939453
2018-03-20,19.174999237060547
2018-03-21,19.389999389648438
2018-03-22,19.010000228881836
2018-03-23,18.44499969482422
2018-03-26,17.989999771118164
2018-03-27,18.4950008392334
2018-03-28,18.3700008392334
2018-03-29,18.225000381469727
2018-04-02,18.225000381469727
2018-04-03,18.040000915527344
2018-04-04,18.184999465942383
2018-04-05,18.1299991607666
2018-04-06,18.18000030517578
2018-04-09,18.645000457763672
2018-04-10,18.84000015258789
2018-04-11,19.2549991607666
2018-04-12,19.21500015258789
2018-04-13,19.56999969482422
2018-04-16,19.350000381469727
2018-04-17,19.014999389648438
2018-04-18,19.309999465942383
2018-04-19,19.860000610351562
2018-04-20,19.799999237060547
2018-04-23,19.889999389648438
2018-04-24,19.674999237060547
2018-04-25,19.8799991607666
2018-04-26,20.149999618530273
2018-04-27,20.264999389648438
2018-04-30,20.559999465942383
2018-05-01,20.094999313354492
2018-05-02,19.864999771118164
2018-05-03,19.950000762939453
2018-05-04,20.420000076293945
2018-05-07,20.420000076293945
2018-05-08,20.600000381469727
2018-05-09,20.844999313354492
2018-05-10,21.0049991607666
2018-05-11,21.264999389648438
2018-05-14,21.625
2018-05-15,21.540000915527344
2018-05-16,21.670000076293945
2018-05-17,22.299999237060547
2018-05-18,22.05500030517578
2018-05-21,22.375
2018-05-22,22.905000686645508
2018-05-23,22.71500015258789
2018-05-24,22.69499969482422
2018-05-25,21.80500030517578
2018-05-29,22.655000686645508
2018-05-30,22.985000610351562
2018-05-31,22.579999923706055
2018-06-01,21.774999618530273
2018-06-04,21.905000686645508
2018-06-05,21.43000030517578
2018-06-06,21.31999969482422
2018-06-07,21.665000915527344
2018-06-08,21.540000915527344
2018-06-11,21.350000381469727
2018-06-12,21.78499984741211
2018-06-13,22.3799991607666
2018-06-14,22.354999542236328
2018-06-15,21.75
2018-06-18,22.139999389648438
2018-06-19,21.69499969482422
2018-06-20,21.5
2018-06-21,21.545000076293945
2018-06-22,21.655000686645508
2018-06-25,21.545000076293945
2018-06-26,21.4950008392334
2018-06-27,22.03499984741211
2018-06-28,21.959999084472656
2018-06-29,21.875
2018-07-02,22.239999771118164
2018-07-03,22.260000228881836
2018-07-05,22.46500015258789
2018-07-06,22.354999542236328
2018-07-09,22.729999542236328
2018-07-10,22.729999542236328
2018-07-11,22.579999923706055
2018-07-12,21.969999313354492
2018-07-13,22.264999389648438
2018-07-16,22.020000457763672
2018-07-17,21.850000381469727
2018-07-18,22.139999389648438
2018-07-19,22.155000686645508
2018-07-20,21.875
2018-07-23,22.030000686645508
2018-07-24,22.094999313354492
2018-07-25,22.170000076293945
2018-07-26,22.114999771118164
2018-07-27,21.889999389648438
2018-07-30,22.059999465942383
2018-07-31,22.114999771118164
2018-08-01,21.93000030517578
2018-08-02,21.934999465942383
2018-08-03,22.260000228881836
2018-08-06,22.5
2018-08-07,22.610000610351562
2018-08-08,22.600000381469727
2018-08-09,22.71500015258789
2018-08-10,22.8799991607666
2018-08-13,23.5
2018-08-14,23.725000381469727
2018-08-15,23.520000457763672
2018-08-16,23.834999084472656
2018-08-17,24.155000686645508
2018-08-20,24.18000030517578
2018-08-21,24.405000686645508
2018-08-22,24.450000762939453
2018-08-23,24.760000228881836
2018-08-24,24.975000381469727
2018-08-27,25.40999984741211
2018-08-28,25.360000610351562
2018-08-29,25.8700008392334
2018-08-30,26.1299991607666
2018-08-31,25.834999084472656
2018-09-04,26.709999084472656
2018-09-05,27.020000457763672
2018-09-06,27.454999923706055
2018-09-07,27.989999771118164
2018-09-10,29.125
2018-09-11,28.780000686645508
2018-09-12,27.4950008392334
2018-09-13,26.809999465942383
2018-09-14,26.93000030517578
2018-09-17,28.075000762939453
2018-09-18,27.40999984741211
2018-09-19,28.31999969482422
2018-09-20,28.59000015258789
2018-09-21,28.725000381469727
2018-09-24,29.2450008392334
2018-09-25,29.229999542236328
2018-09-26,28.260000228881836
2018-09-27,27.575000762939453
2018-09-28,27.329999923706055
2018-10-01,27.44499969482422
2018-10-02,27.2549991607666
2018-10-03,27.114999771118164
2018-10-04,27.469999313354492
2018-10-05,27.899999618530273
2018-10-08,27.219999313354492
2018-10-09,26.834999084472656
2018-10-10,26.219999313354492
2018-10-11,25.760000228881836
2018-10-12,26.6299991607666
2018-10-15,26.625
2018-10-16,26.329999923706055
2018-10-17,25.940000534057617
2018-10-18,26.024999618530273
2018-10-19,26.860000610351562
2018-10-22,26.114999771118164
2018-10-23,25.665000915527344
2018-10-24,25.260000228881836
2018-10-25,24.864999771118164
2018-10-26,24.280000686645508
2018-10-29,24.579999923706055
2018-10-30,23.875
2018-10-31,24.334999084472656
2018-11-01,23.649999618530273
2018-11-02,24.28499984741211
2018-11-05,23.809999465942383
2018-11-06,23.895000457763672
2018-11-07,24.420000076293945
2018-11-08,24.43000030517578
2018-11-09,24.325000762939453
2018-11-12,25.954999923706055
2018-11-13,26.520000457763672
2018-11-14,26.280000686645508
2018-11-15,26.674999237060547
2018-11-16,25.954999923706055
2018-11-19,24.149999618530273
2018-11-20,24.350000381469727
2018-11-21,24.5
2018-11-23,24.81999969482422
2018-11-26,24.545000076293945
2018-11-27,25.15999984741211
2018-11-28,24.299999237060547
2018-11-29,24.635000228881836
2018-11-30,24.690000534057617
2018-12-03,25.084999084472656
2018-12-04,24.415000915527344
2018-12-06,23.165000915527344
2018-12-07,23.145000457763672
2018-12-10,23.25
2018-12-11,23.6200008392334
2018-12-12,23.920000076293945
2018-12-13,24.225000381469727
2018-12-14,24.645000457763672
2018-12-17,24.68000030517578
2018-12-18,23.729999542236328
2018-12-19,24.209999084472656
2018-12-20,24.604999542236328
2018-12-21,24.899999618530273
2018-12-24,24.2450008392334
2018-12-26,24.2450008392334
2018-12-27,23.31999969482422
2018-12-28,22.809999465942383
2018-12-31,21.979999542236328
2019-01-02,22.475000381469727
2019-01-03,22.2549991607666
2019-01-04,22.93000030517578
2019-01-07,21.530000686645508
2019-01-08,22.09000015258789
2019-01-09,21.719999313354492
2019-01-10,21.674999237060547
2019-01-11,22.2549991607666
2019-01-14,21.674999237060547
2019-01-15,22.0
2019-01-16,22.0049991607666
2019-01-17,22.9950008392334
2019-01-18,22.604999542236328
2019-01-22,21.815000534057617
2019-01-23,22.190000534057617
2019-01-24,21.280000686645508
2019-01-25,20.889999389648438
2019-01-28,20.549999237060547
2019-01-29,20.584999084472656
2019-01-30,20.18000030517578
2019-01-31,19.850000381469727
2019-02-01,19.299999237060547
2019-02-04,19.354999542236328
2019-02-05,19.139999389648438
2019-02-06,18.915000915527344
2019-02-07,18.90999984741211
2019-02-08,18.264999389648438
2019-02-11,18.05500030517578
2019-02-12,17.78499984741211
2019-02-13,18.020000457763672
2019-02-14,17.7549991607666
2019-02-15,18.100000381469727
2019-02-19,17.704999923706055
2019-02-20,18.145000457763672
2019-02-21,17.520000457763672
2019-02-22,17.229999542236328
2019-02-25,16.94499969482422
2019-02-26,17.045000076293945
2019-02-27,17.614999771118164
2019-02-28,17.815000534057617
2019-03-01,17.31999969482422
2019-03-04,17.399999618530273
2019-03-05,17.18000030517578
2019-03-06,16.850000381469727
2019-03-07,16.8700008392334
2019-03-08,16.729999542236328
2019-03-11,16.625
2019-03-12,16.209999084472656
2019-03-13,15.725000381469727
2019-03-14,15.604999542236328
2019-03-15,15.25
2019-03-18,14.979999542236328
2019-03-19,15.005000114440918
2019-03-20,15.21500015258789
2019-03-21,14.5649995803833
2019-03-22,14.454999923706055
2019-03-25,14.1850004196167
2019-03-26,14.385000228881836
2019-03-27,14.994999885559082
2019-03-28,14.430000305175781
2019-03-29,14.21500015258789
2019-04-01,13.845000267028809
2019-04-02,13.454999923706055
2019-04-03,14.1899995803833
2019-04-04,14.805000305175781
2019-04-05,16.635000228881836
2019-04-08,15.96500015258789
2019-04-09,16.7549991607666
2019-04-10,15.729999542236328
2019-04-11,15.994999885559082
2019-04-12,15.854999542236328
2019-04-15,15.010000228881836
2019-04-16,14.835000038146973
2019-04-17,15.194999694824219
2019-04-18,14.460000038146973
2019-04-22,14.460000038146973
2019-04-23,14.420000076293945
2019-04-24,14.265000343322754
2019-04-25,14.53499984741211
2019-04-26,14.425000190734863
2019-04-29,14.524999618530273
2019-04-30,14.390000343322754
2019-05-01,14.055000305175781
2019-05-02,14.364999771118164
2019-05-03,14.5649995803833
2019-05-06,14.335000038146973
2019-05-07,14.154999732971191
2019-05-08,14.319999694824219
2019-05-09,14.454999923706055
2019-05-10,13.994999885559082
2019-05-13,13.760000228881836
2019-05-14,13.78499984741211
2019-05-15,13.854999542236328
2019-05-16,13.385000228881836
2019-05-17,12.854999542236328
2019-05-20,12.904999732971191
2019-05-21,12.704999923706055
2019-05-22,12.649999618530273
2019-05-23,12.595000267028809
2019-05-24,12.25
2019-05-28,12.520000457763672
2019-05-29,12.225000381469727
2019-05-30,11.475000381469727
2019-05-31,11.204999923706055
2019-06-03,11.100000381469727
2019-06-04,11.90999984741211
2019-06-05,11.600000381469727
2019-06-06,11.104999542236328
2019-06-07,11.520000457763672
2019-06-10,11.805000305175781
2019-06-11,11.199999809265137
2019-06-12,11.140000343322754
2019-06-13,11.395000457763672
2019-06-14,11.319999694824219
2019-06-17,11.569999694824219
2019-06-18,11.03499984741211
2019-06-19,10.484999656677246
2019-06-20,10.149999618530273
2019-06-21,10.354999542236328
2019-06-24,10.199999809265137
2019-06-25,9.845000267028809
2019-06-26,9.619999885559082
2019-06-27,9.375
2019-06-28,10.114999771118164
2019-07-01,10.364999771118164
2019-07-02,10.225000381469727
2019-07-03,10.295000076293945
2019-07-05,11.21500015258789
2019-07-08,11.880000114440918
2019-07-09,11.760000228881836
2019-07-10,12.135000228881836
2019-07-11,13.130000114440918
2019-07-12,13.279999732971191
2019-07-15,12.895000457763672
2019-07-16,11.414999961853027
2019-07-17,10.989999771118164
2019-07-18,10.734999656677246
2019-07-19,10.8149995803833
2019-07-22,10.15999984741211
2019-07-23,10.75
2019-07-24,10.074999809265137
2019-07-25,10.024999618530273
2019-07-26,9.96500015258789
2019-07-29,9.8100004196167
2019-07-30,9.789999961853027
2019-07-31,11.0
2019-08-01,12.359999656677246
2019-08-02,12.015000343322754
2019-08-05,11.46500015258789
2019-08-06,10.949999809265137
2019-08-07,11.40999984741211
2019-08-08,12.074999809265137
2019-08-09,12.024999618530273
2019-08-12,11.420000076293945
2019-08-13,11.859999656677246
2019-08-14,11.180000305175781
2019-08-15,11.225000381469727
2019-08-16,10.954999923706055
2019-08-19,10.78499984741211
2019-08-20,11.21500015258789
2019-08-21,11.414999961853027
2019-08-22,10.989999771118164
2019-08-23,10.585000038146973
2019-08-26,10.3149995803833
2019-08-27,10.069999694824219
2019-08-28,10.234999656677246
2019-08-29,10.71500015258789
2019-08-30,12.795000076293945
2019-09-03,12.100000381469727
2019-09-04,11.960000038146973
2019-09-05,12.234999656677246
2019-09-06,12.350000381469727
2019-09-09,12.234999656677246
2019-09-10,14.404999732971191
2019-09-11,14.354999542236328
2019-09-12,14.46500015258789
2019-09-13,14.710000038146973
2019-09-16,15.335000038146973
2019-09-17,13.4399995803833
2019-09-18,12.4350004196167
2019-09-19,12.255000114440918
2019-09-20,12.710000038146973
2019-09-23,12.244999885559082
2019-09-24,12.34000015258789
2019-09-25,11.949999809265137
2019-09-26,12.045000076293945
2019-09-27,11.9399995803833
2019-09-30,16.389999389648438
2019-10-01,16.760000228881836
2019-10-02,16.0049991607666
2019-10-03,16.010000228881836
2019-10-04,15.770000457763672
2019-10-07,15.505000114440918
2019-10-08,15.640000343322754
2019-10-09,15.574999809265137
2019-10-10,15.850000381469727
2019-10-11,16.135000228881836
2019-10-14,16.040000915527344
2019-10-15,16.065000534057617
2019-10-16,16.075000762939453
2019-10-17,16.024999618530273
2019-10-18,15.96500015258789
2019-10-21,15.609999656677246
2019-10-22,15.595000267028809
2019-10-23,15.414999961853027
2019-10-24,15.654999732971191
2019-10-25,15.234999656677246
2019-10-28,14.390000343322754
2019-10-29,13.835000038146973
2019-10-30,13.779999732971191
2019-10-31,16.135000228881836
2019-11-01,16.174999237060547
2019-11-04,16.479999542236328
2019-11-05,16.790000915527344
2019-11-06,16.280000686645508
2019-11-07,16.1200008392334
2019-11-08,15.9399995803833
2019-11-11,15.845000267028809
2019-11-12,15.545000076293945
2019-11-13,15.449999809265137
2019-11-14,15.670000076293945
2019-11-15,15.71500015258789
2019-11-18,15.229999542236328
2019-11-19,15.289999961853027
2019-11-20,15.59000015258789
2019-11-21,15.625
2019-11-22,16.049999237060547
2019-11-25,16.235000610351562
2019-11-26,15.850000381469727
2019-11-27,15.979999542236328
2019-11-29,16.329999923706055
2019-12-02,15.8100004196167
2019-12-03,15.770000457763672
2019-12-04,15.880000114440918
2019-12-05,15.414999961853027
2019-12-06,15.140000343322754
2019-12-09,14.890000343322754
2019-12-10,14.529999732971191
2019-12-11,14.045000076293945
2019-12-12,14.770000457763672
2019-12-13,13.805000305175781
2019-12-16,13.890000343322754
2019-12-17,14.460000038146973
2019-12-18,14.949999809265137
2019-12-19,15.005000114440918
2019-12-20,14.234999656677246
2019-12-23,13.024999618530273
2019-12-24,12.604999542236328
