DATA QUALITY REPORT
============================================================
Total rows: 2213
Date range: 2018-01-01 00:00:00 to 2026-06-24 00:00:00

Column                               Missing        %
omip_q1_19_lag_30d                      1993    90.1%
omip_q1_19_lag_3d                       1993    90.1%
omip_q1_19_lag_5d                       1993    90.1%
omip_q1_19_lag_65d                      1993    90.1%
omip_q1_19_momentum_20d                 2042    92.3%
omip_q1_19_momentum_65d                 2064    93.3%
omip_q1_19_vol_20d                      1960    88.6%
omip_q1_19_vol_40d                      1961    88.6%
omip_q1_20                              1815    82.0%
omip_q1_20_lag_10d                      1815    82.0%
omip_q1_20_lag_15d                      1815    82.0%
omip_q1_20_lag_1d                       1815    82.0%
omip_q1_20_lag_20d                      1815    82.0%
omip_q1_20_lag_25d                      1815    82.0%
omip_q1_20_lag_2d                       1815    82.0%
omip_q1_20_lag_30d                      1815    82.0%
omip_q1_20_lag_3d                       1815    82.0%
omip_q1_20_lag_5d                       1815    82.0%
omip_q1_20_lag_65d                      1815    82.0%
omip_q1_20_momentum_20d                 1877    84.8%
omip_q1_20_momentum_65d                 1903    86.0%
omip_q1_20_vol_20d                      1770    80.0%
omip_q1_20_vol_40d                      1772    80.1%
omip_q1_21                              1808    81.7%
omip_q1_21_lag_10d                      1808    81.7%
omip_q1_21_lag_15d                      1808    81.7%
omip_q1_21_lag_1d                       1808    81.7%
omip_q1_21_lag_20d                      1808    81.7%
omip_q1_21_lag_25d                      1808    81.7%
omip_q1_21_lag_2d                       1808    81.7%
omip_q1_21_lag_30d                      1808    81.7%
omip_q1_21_lag_3d                       1808    81.7%
omip_q1_21_lag_5d                       1808    81.7%
omip_q1_21_lag_65d                      1808    81.7%
omip_q1_21_momentum_20d                 1868    84.4%
omip_q1_21_momentum_65d                 1903    86.0%
omip_q1_21_vol_20d                      1759    79.5%
omip_q1_21_vol_40d                      1765    79.8%
omip_q1_22                              1803    81.5%
omip_q1_22_lag_10d                      1803    81.5%
omip_q1_22_lag_15d                      1803    81.5%
omip_q1_22_lag_1d                       1803    81.5%
omip_q1_22_lag_20d                      1803    81.5%
omip_q1_22_lag_25d                      1803    81.5%
omip_q1_22_lag_2d                       1803    81.5%
omip_q1_22_lag_30d                      1803    81.5%
omip_q1_22_lag_3d                       1803    81.5%
omip_q1_22_lag_5d                       1803    81.5%
omip_q1_22_lag_65d                      1803    81.5%
omip_q1_22_momentum_20d                 1862    84.1%
omip_q1_22_momentum_65d                 1896    85.7%
omip_q1_22_vol_20d                      1758    79.4%
omip_q1_22_vol_40d                      1758    79.4%
omip_q1_23                              1774    80.2%
omip_q1_23_lag_10d                      1774    80.2%
omip_q1_23_lag_15d                      1774    80.2%
omip_q1_23_lag_1d                       1774    80.2%
omip_q1_23_lag_20d                      1774    80.2%
omip_q1_23_lag_25d                      1774    80.2%
omip_q1_23_lag_2d                       1774    80.2%
omip_q1_23_lag_30d                      1774    80.2%
omip_q1_23_lag_3d                       1774    80.2%
omip_q1_23_lag_5d                       1774    80.2%
omip_q1_23_lag_65d                      1774    80.2%
omip_q1_23_momentum_20d                 1806    81.6%
omip_q1_23_momentum_65d                 1843    83.3%
omip_q1_23_vol_20d                      1760    79.5%
omip_q1_23_vol_40d                      1761    79.6%
omip_q1_24                              1767    79.8%
omip_q1_24_lag_10d                      1767    79.8%
omip_q1_24_lag_15d                      1767    79.8%
omip_q1_24_lag_1d                       1767    79.8%
omip_q1_24_lag_20d                      1767    79.8%
omip_q1_24_lag_25d                      1767    79.8%
omip_q1_24_lag_2d                       1767    79.8%
omip_q1_24_lag_30d                      1767    79.8%
omip_q1_24_lag_3d                       1767    79.8%
omip_q1_24_lag_5d                       1767    79.8%
omip_q1_24_lag_65d                      1767    79.8%
omip_q1_24_momentum_20d                 1792    81.0%
omip_q1_24_momentum_65d                 1837    83.0%
omip_q1_24_vol_20d                      1759    79.5%
omip_q1_24_vol_40d                      1761    79.6%
omip_q1_25                              1770    80.0%
omip_q1_25_lag_10d                      1770    80.0%
omip_q1_25_lag_15d                      1770    80.0%
omip_q1_25_lag_1d                       1770    80.0%
omip_q1_25_lag_20d                      1770    80.0%
omip_q1_25_lag_25d                      1770    80.0%
omip_q1_25_lag_2d                       1770    80.0%
omip_q1_25_lag_30d                      1770    80.0%
omip_q1_25_lag_3d                       1770    80.0%
omip_q1_25_lag_5d                       1770    80.0%
omip_q1_25_lag_65d                      1770    80.0%
omip_q1_25_momentum_20d                 1797    81.2%
omip_q1_25_momentum_65d                 1840    83.1%
omip_q1_25_vol_20d                      1761    79.6%
omip_q1_25_vol_40d                      1763    79.7%
omip_q1_26                              1773    80.1%
omip_q1_26_lag_10d                      1773    80.1%
omip_q1_26_lag_15d                      1773    80.1%
omip_q1_26_lag_1d                       1773    80.1%
omip_q1_26_lag_20d                      1773    80.1%
omip_q1_26_lag_25d                      1773    80.1%
omip_q1_26_lag_2d                       1773    80.1%
omip_q1_26_lag_30d                      1773    80.1%
omip_q1_26_lag_3d                       1773    80.1%
omip_q1_26_lag_5d                       1773    80.1%
omip_q1_26_lag_65d                      1773    80.1%
omip_q1_26_momentum_20d                 1805    81.6%
omip_q1_26_momentum_65d                 1850    83.6%
omip_q1_26_vol_20d                      1759    79.5%
omip_q1_26_vol_40d                      1759    79.5%
omip_q1_27                              1901    85.9%
omip_q1_27_lag_10d                      1910    86.3%
omip_q1_27_lag_15d                      1915    86.5%
omip_q1_27_lag_1d                       1901    85.9%
omip_q1_27_lag_20d                      1920    86.8%
omip_q1_27_lag_25d                      1925    87.0%
omip_q1_27_lag_2d                       1902    85.9%
omip_q1_27_lag_30d                      1930    87.2%
omip_q1_27_lag_3d                       1903    86.0%
omip_q1_27_lag_5d                       1905    86.1%
omip_q1_27_lag_65d                      1962    88.7%
omip_q1_27_momentum_20d                 1927    87.1%
omip_q1_27_momentum_65d                 1969    89.0%
omip_q1_27_vol_20d                      1900    85.9%
omip_q1_27_vol_40d                      1912    86.4%
omip_q1_28                              2156    97.4%
omip_q1_28_lag_10d                      2165    97.8%
omip_q1_28_lag_15d                      2170    98.1%
omip_q1_28_lag_1d                       2156    97.4%
omip_q1_28_lag_20d                      2175    98.3%
omip_q1_28_lag_25d                      2180    98.5%
omip_q1_28_lag_2d                       2157    97.5%
omip_q1_28_lag_30d                      2185    98.7%
omip_q1_28_lag_3d                       2158    97.5%
omip_q1_28_lag_5d                       2160    97.6%
omip_q1_28_lag_65d                      2213   100.0%
omip_q1_28_momentum_20d                 2176    98.3%
omip_q1_28_momentum_65d                 2213   100.0%
omip_q1_28_vol_20d                      2163    97.7%
omip_q1_28_vol_40d                      2173    98.2%
omip_q2_18                              2165    97.8%
omip_q2_18_lag_10d                      2165    97.8%
omip_q2_18_lag_15d                      2165    97.8%
omip_q2_18_lag_1d                       2165    97.8%
omip_q2_18_lag_20d                      2165    97.8%
omip_q2_18_lag_25d                      2165    97.8%
omip_q2_18_lag_2d                       2165    97.8%
omip_q2_18_lag_30d                      2165    97.8%
omip_q2_18_lag_3d                       2165    97.8%
omip_q2_18_lag_5d                       2165    97.8%
omip_q2_18_lag_65d                      2165    97.8%
omip_q2_18_momentum_20d                 2189    98.9%
omip_q2_18_momentum_65d                 2213   100.0%
omip_q2_18_vol_20d                      2158    97.5%
omip_q2_18_vol_40d                      2161    97.7%
omip_q2_19                              1938    87.6%
omip_q2_19_lag_10d                      1938    87.6%
omip_q2_19_lag_15d                      1938    87.6%
omip_q2_19_lag_1d                       1938    87.6%
omip_q2_19_lag_20d                      1938    87.6%
omip_q2_19_lag_25d                      1938    87.6%
omip_q2_19_lag_2d                       1938    87.6%
omip_q2_19_lag_30d                      1938    87.6%
omip_q2_19_lag_3d                       1938    87.6%
omip_q2_19_lag_5d                       1938    87.6%
omip_q2_19_lag_65d                      1938    87.6%
omip_q2_19_momentum_20d                 1996    90.2%
omip_q2_19_momentum_65d                 2014    91.0%
omip_q2_19_vol_20d                      1894    85.6%
omip_q2_19_vol_40d                      1896    85.7%
omip_q2_20                              1812    81.9%
omip_q2_20_lag_10d                      1812    81.9%
omip_q2_20_lag_15d                      1812    81.9%
omip_q2_20_lag_1d                       1812    81.9%
omip_q2_20_lag_20d                      1812    81.9%
omip_q2_20_lag_25d                      1812    81.9%
omip_q2_20_lag_2d                       1812    81.9%
omip_q2_20_lag_30d                      1812    81.9%
omip_q2_20_lag_3d                       1812    81.9%
omip_q2_20_lag_5d                       1812    81.9%
omip_q2_20_lag_65d                      1812    81.9%
omip_q2_20_momentum_20d                 1879    84.9%
omip_q2_20_momentum_65d                 1907    86.2%
omip_q2_20_vol_20d                      1761    79.6%
omip_q2_20_vol_40d                      1762    79.6%
omip_q2_21                              1813    81.9%
omip_q2_21_lag_10d                      1813    81.9%
omip_q2_21_lag_15d                      1813    81.9%
omip_q2_21_lag_1d                       1813    81.9%
omip_q2_21_lag_20d                      1813    81.9%
omip_q2_21_lag_25d                      1813    81.9%
omip_q2_21_lag_2d                       1813    81.9%
omip_q2_21_lag_30d                      1813    81.9%
omip_q2_21_lag_3d                       1813    81.9%
omip_q2_21_lag_5d                       1813    81.9%
omip_q2_21_lag_65d                      1813    81.9%
omip_q2_21_momentum_20d                 1876    84.8%
omip_q2_21_momentum_65d                 1910    86.3%
omip_q2_21_vol_20d                      1765    79.8%
omip_q2_21_vol_40d                      1765    79.8%
omip_q2_22                              1794    81.1%
omip_q2_22_lag_10d                      1794    81.1%
omip_q2_22_lag_15d                      1794    81.1%
omip_q2_22_lag_1d                       1794    81.1%
omip_q2_22_lag_20d                      1794    81.1%
omip_q2_22_lag_25d                      1794    81.1%
omip_q2_22_lag_2d                       1794    81.1%
omip_q2_22_lag_30d                      1794    81.1%
omip_q2_22_lag_3d                       1794    81.1%
omip_q2_22_lag_5d                       1794    81.1%
omip_q2_22_lag_65d                      1794    81.1%
omip_q2_22_momentum_20d                 1844    83.3%
omip_q2_22_momentum_65d                 1883    85.1%
omip_q2_22_vol_20d                      1758    79.4%
omip_q2_22_vol_40d                      1759    79.5%
omip_q2_23                              1765    79.8%
omip_q2_23_lag_10d                      1765    79.8%
omip_q2_23_lag_15d                      1765    79.8%
omip_q2_23_lag_1d                       1765    79.8%
omip_q2_23_lag_20d                      1765    79.8%
omip_q2_23_lag_25d                      1765    79.8%
omip_q2_23_lag_2d                       1765    79.8%
omip_q2_23_lag_30d                      1765    79.8%
omip_q2_23_lag_3d                       1765    79.8%
omip_q2_23_lag_5d                       1765    79.8%
omip_q2_23_lag_65d                      1765    79.8%
omip_q2_23_momentum_20d                 1789    80.8%
omip_q2_23_momentum_65d                 1834    82.9%
omip_q2_23_vol_20d                      1759    79.5%
omip_q2_23_vol_40d                      1760    79.5%
omip_q2_24                              1767    79.8%
omip_q2_24_lag_10d                      1767    79.8%
omip_q2_24_lag_15d                      1767    79.8%
omip_q2_24_lag_1d                       1767    79.8%
omip_q2_24_lag_20d                      1767    79.8%
omip_q2_24_lag_25d                      1767    79.8%
omip_q2_24_lag_2d                       1767    79.8%
omip_q2_24_lag_30d                      1767    79.8%
omip_q2_24_lag_3d                       1767    79.8%
omip_q2_24_lag_5d                       1767    79.8%
omip_q2_24_lag_65d                      1767    79.8%
omip_q2_24_momentum_20d                 1795    81.1%
omip_q2_24_momentum_65d                 1839    83.1%
omip_q2_24_vol_20d                      1758    79.4%
omip_q2_24_vol_40d                      1758    79.4%
omip_q2_25                              1773    80.1%
omip_q2_25_lag_10d                      1773    80.1%
omip_q2_25_lag_15d                      1773    80.1%
omip_q2_25_lag_1d                       1773    80.1%
omip_q2_25_lag_20d                      1773    80.1%
omip_q2_25_lag_25d                      1773    80.1%
omip_q2_25_lag_2d                       1773    80.1%
omip_q2_25_lag_30d                      1773    80.1%
omip_q2_25_lag_3d                       1773    80.1%
omip_q2_25_lag_5d                       1773    80.1%
omip_q2_25_lag_65d                      1773    80.1%
omip_q2_25_momentum_20d                 1807    81.7%
omip_q2_25_momentum_65d                 1846    83.4%
omip_q2_25_vol_20d                      1757    79.4%
omip_q2_25_vol_40d                      1757    79.4%
omip_q2_26                              1773    80.1%
omip_q2_26_lag_10d                      1773    80.1%
omip_q2_26_lag_15d                      1773    80.1%
omip_q2_26_lag_1d                       1773    80.1%
omip_q2_26_lag_20d                      1773    80.1%
omip_q2_26_lag_25d                      1773    80.1%
omip_q2_26_lag_2d                       1773    80.1%
omip_q2_26_lag_30d                      1773    80.1%
omip_q2_26_lag_3d                       1773    80.1%
omip_q2_26_lag_5d                       1773    80.1%
omip_q2_26_lag_65d                      1775    80.2%
omip_q2_26_momentum_20d                 1807    81.7%
omip_q2_26_momentum_65d                 1852    83.7%
omip_q2_26_vol_20d                      1757    79.4%
omip_q2_26_vol_40d                      1757    79.4%
omip_q2_27                              1963    88.7%
omip_q2_27_lag_10d                      1972    89.1%
omip_q2_27_lag_15d                      1977    89.3%
omip_q2_27_lag_1d                       1963    88.7%
omip_q2_27_lag_20d                      1982    89.6%
omip_q2_27_lag_25d                      1987    89.8%
omip_q2_27_lag_2d                       1964    88.7%
omip_q2_27_lag_30d                      1992    90.0%
omip_q2_27_lag_3d                       1965    88.8%
omip_q2_27_lag_5d                       1967    88.9%
omip_q2_27_lag_65d                      2024    91.5%
omip_q2_27_momentum_20d                 1988    89.8%
omip_q2_27_momentum_65d                 2031    91.8%
omip_q2_27_vol_20d                      1965    88.8%
omip_q2_27_vol_40d                      1975    89.2%
omip_q3_18                              2109    95.3%
omip_q3_18_lag_10d                      2109    95.3%
omip_q3_18_lag_15d                      2109    95.3%
omip_q3_18_lag_1d                       2109    95.3%
omip_q3_18_lag_20d                      2109    95.3%
omip_q3_18_lag_25d                      2109    95.3%
omip_q3_18_lag_2d                       2109    95.3%
omip_q3_18_lag_30d                      2109    95.3%
omip_q3_18_lag_3d                       2109    95.3%
omip_q3_18_lag_5d                       2109    95.3%
omip_q3_18_lag_65d                      2109    95.3%
omip_q3_18_momentum_20d                 2145    96.9%
omip_q3_18_momentum_65d                 2169    98.0%
omip_q3_18_vol_20d                      2090    94.4%
omip_q3_18_vol_40d                      2091    94.5%
omip_q3_19                              1879    84.9%
omip_q3_19_lag_10d                      1879    84.9%
omip_q3_19_lag_15d                      1879    84.9%
omip_q3_19_lag_1d                       1879    84.9%
omip_q3_19_lag_20d                      1879    84.9%
omip_q3_19_lag_25d                      1879    84.9%
omip_q3_19_lag_2d                       1879    84.9%
omip_q3_19_lag_30d                      1879    84.9%
omip_q3_19_lag_3d                       1879    84.9%
omip_q3_19_lag_5d                       1879    84.9%
omip_q3_19_lag_65d                      1879    84.9%
omip_q3_19_momentum_20d                 1945    87.9%
omip_q3_19_momentum_65d                 1962    88.7%
omip_q3_19_vol_20d                      1828    82.6%
omip_q3_19_vol_40d                      1829    82.6%
omip_q3_20                              1815    82.0%
omip_q3_20_lag_10d                      1815    82.0%
omip_q3_20_lag_15d                      1815    82.0%
omip_q3_20_lag_1d                       1815    82.0%
omip_q3_20_lag_20d                      1815    82.0%
omip_q3_20_lag_25d                      1815    82.0%
omip_q3_20_lag_2d                       1815    82.0%
omip_q3_20_lag_30d                      1815    82.0%
omip_q3_20_lag_3d                       1815    82.0%
omip_q3_20_lag_5d                       1815    82.0%
omip_q3_20_lag_65d                      1815    82.0%
omip_q3_20_momentum_20d                 1879    84.9%
omip_q3_20_momentum_65d                 1907    86.2%
omip_q3_20_vol_20d                      1768    79.9%
omip_q3_20_vol_40d                      1767    79.8%
omip_q3_21                              1819    82.2%
omip_q3_21_lag_10d                      1819    82.2%
omip_q3_21_lag_15d                      1819    82.2%
omip_q3_21_lag_1d                       1819    82.2%
omip_q3_21_lag_20d                      1819    82.2%
omip_q3_21_lag_25d                      1819    82.2%
omip_q3_21_lag_2d                       1819    82.2%
omip_q3_21_lag_30d                      1819    82.2%
omip_q3_21_lag_3d                       1819    82.2%
omip_q3_21_lag_5d                       1819    82.2%
omip_q3_21_lag_65d                      1819    82.2%
omip_q3_21_momentum_20d                 1887    85.3%
omip_q3_21_momentum_65d                 1910    86.3%
omip_q3_21_vol_20d                      1763    79.7%
omip_q3_21_vol_40d                      1763    79.7%
omip_q3_22                              1793    81.0%
omip_q3_22_lag_10d                      1793    81.0%
omip_q3_22_lag_15d                      1793    81.0%
omip_q3_22_lag_1d                       1793    81.0%
omip_q3_22_lag_20d                      1793    81.0%
omip_q3_22_lag_25d                      1793    81.0%
omip_q3_22_lag_2d                       1793    81.0%
omip_q3_22_lag_30d                      1793    81.0%
omip_q3_22_lag_3d                       1793    81.0%
omip_q3_22_lag_5d                       1793    81.0%
omip_q3_22_lag_65d                      1793    81.0%
omip_q3_22_momentum_20d                 1842    83.2%
omip_q3_22_momentum_65d                 1875    84.7%
omip_q3_22_vol_20d                      1759    79.5%
omip_q3_22_vol_40d                      1760    79.5%
omip_q3_23                              1766    79.8%
omip_q3_23_lag_10d                      1766    79.8%
omip_q3_23_lag_15d                      1766    79.8%
omip_q3_23_lag_1d                       1766    79.8%
omip_q3_23_lag_20d                      1766    79.8%
omip_q3_23_lag_25d                      1766    79.8%
omip_q3_23_lag_2d                       1766    79.8%
omip_q3_23_lag_30d                      1766    79.8%
omip_q3_23_lag_3d                       1766    79.8%
omip_q3_23_lag_5d                       1766    79.8%
omip_q3_23_lag_65d                      1766    79.8%
omip_q3_23_momentum_20d                 1793    81.0%
omip_q3_23_momentum_65d                 1835    82.9%
omip_q3_23_vol_20d                      1758    79.4%
omip_q3_23_vol_40d                      1758    79.4%
omip_q3_24                              1770    80.0%
